PLAYER,TEAM_BBREF,MP,BPM,SEASON
James Harden,HOU,3125.0,6.6,2015-16
Gordon Hayward,UTA,2893.0,2.6,2015-16
Kemba Walker,CHO,2885.0,4.0,2015-16
Trevor Ariza,HOU,2859.0,0.4,2015-16
Marcus Morris,DET,2856.0,-0.2,2015-16
Khris Middleton,MIL,2852.0,0.6,2015-16
Kyle Lowry,TOR,2851.0,5.8,2015-16
Andrew Wiggins,MIN,2845.0,-1.3,2015-16
Giannis Antetokounmpo,MIL,2823.0,2.1,2015-16
Paul George,IND,2819.0,4.9,2015-16
Draymond Green,GSW,2808.0,5.5,2015-16
DeMar DeRozan,TOR,2804.0,2.5,2015-16
Kentavious Caldwell-Pope,DET,2789.0,-0.3,2015-16
John Wall,WAS,2784.0,3.5,2015-16
CJ McCollum,POR,2780.0,1.3,2015-16
Russell Westbrook,OKC,2750.0,7.8,2015-16
Monta Ellis,IND,2734.0,0.1,2015-16
LeBron James,CLE,2709.0,9.0,2015-16
Joe Johnson,2TM,2703.0,-1.9,2015-16
Joe Johnson,BRK,1934.0,-2.6,2015-16
Joe Johnson,MIA,769.0,-0.1,2015-16
Stephen Curry,GSW,2700.0,11.9,2015-16
Damian Lillard,POR,2676.0,4.4,2015-16
Andre Drummond,DET,2666.0,1.1,2015-16
Klay Thompson,GSW,2666.0,1.8,2015-16
Paul Millsap,ATL,2647.0,4.2,2015-16
Isaiah Thomas,BOS,2644.0,4.3,2015-16
Wesley Matthews,DAL,2644.0,-1.0,2015-16
Al Horford,ATL,2631.0,3.8,2015-16
Karl-Anthony Towns,MIN,2627.0,2.2,2015-16
DeAndre Jordan,LAC,2598.0,2.8,2015-16
Kevin Durant,OKC,2578.0,9.9,2015-16
Evan Fournier,ORL,2566.0,-0.3,2015-16
Jordan Clarkson,LAL,2552.0,-1.6,2015-16
Rodney Hood,UTA,2541.0,0.7,2015-16
P.J. Tucker,PHO,2540.0,-1.2,2015-16
Rajon Rondo,SAC,2537.0,1.0,2015-16
Avery Bradley,BOS,2536.0,-0.1,2015-16
Carmelo Anthony,NYK,2530.0,3.3,2015-16
George Hill,IND,2524.0,0.7,2015-16
Tobias Harris,2TM,2513.0,1.5,2015-16
Tobias Harris,ORL,1610.0,0.6,2015-16
Tobias Harris,DET,903.0,3.1,2015-16
Serge Ibaka,OKC,2500.0,-0.6,2015-16
Jimmy Butler,CHI,2474.0,4.4,2015-16
Brook Lopez,BRK,2457.0,1.3,2015-16
Nicolas Batum,CHO,2448.0,1.2,2015-16
Gary Harris,DEN,2439.0,-0.9,2015-16
Reggie Jackson,DET,2424.0,2.7,2015-16
Kevin Love,CLE,2424.0,3.3,2015-16
Chris Paul,LAC,2420.0,7.9,2015-16
Jabari Parker,MIL,2408.0,-2.0,2015-16
Thaddeus Young,BRK,2407.0,0.0,2015-16
Kyle Korver,ATL,2401.0,-1.0,2015-16
Luol Deng,MIA,2394.0,0.8,2015-16
Kawhi Leonard,SAS,2380.0,9.1,2015-16
Victor Oladipo,ORL,2379.0,1.7,2015-16
Rudy Gay,SAC,2379.0,-0.3,2015-16
Arron Afflalo,NYK,2371.0,-2.9,2015-16
Dirk Nowitzki,DAL,2364.0,2.5,2015-16
Goran Dragić,MIA,2363.0,-0.4,2015-16
J.R. Smith,CLE,2362.0,0.5,2015-16
Will Barton,DEN,2353.0,0.8,2015-16
Al-Farouq Aminu,POR,2341.0,0.1,2015-16
Marvin Williams,CHO,2338.0,2.7,2015-16
Courtney Lee,2TM,2334.0,-1.0,2015-16
Courtney Lee,MEM,1489.0,-0.9,2015-16
Courtney Lee,CHO,845.0,-1.0,2015-16
Ricky Rubio,MIN,2323.0,1.8,2015-16
Greg Monroe,MIL,2314.0,2.1,2015-16
Jae Crowder,BOS,2308.0,2.2,2015-16
Zach LaVine,MIN,2294.0,-1.5,2015-16
Pau Gasol,CHI,2291.0,4.9,2015-16
Julius Randle,LAL,2286.0,-3.2,2015-16
Dwight Howard,HOU,2280.0,0.1,2015-16
Otto Porter Jr.,WAS,2276.0,1.1,2015-16
Evan Turner,BOS,2271.0,0.0,2015-16
Tristan Thompson,CLE,2269.0,0.2,2015-16
LaMarcus Aldridge,SAS,2261.0,2.3,2015-16
D'Angelo Russell,LAL,2259.0,-2.3,2015-16
Dwyane Wade,MIA,2258.0,1.9,2015-16
Marcin Gortat,WAS,2256.0,0.6,2015-16
Jeff Teague,ATL,2255.0,1.3,2015-16
Jeff Green,2TM,2253.0,-1.8,2015-16
Jeff Green,MEM,1544.0,-1.4,2015-16
Jeff Green,LAC,709.0,-2.5,2015-16
DeMarcus Cousins,SAC,2246.0,3.3,2015-16
Ish Smith,2TM,2239.0,-1.6,2015-16
Ish Smith,NOP,617.0,0.3,2015-16
Ish Smith,PHI,1622.0,-2.3,2015-16
Justise Winslow,MIA,2232.0,-2.6,2015-16
Gorgui Dieng,MIN,2220.0,0.8,2015-16
Robin Lopez,NYK,2219.0,-0.2,2015-16
Darren Collison,SAC,2219.0,0.1,2015-16
Raymond Felton,DAL,2192.0,-1.6,2015-16
Matt Barnes,MEM,2190.0,-0.9,2015-16
Anthony Davis,NOP,2164.0,3.9,2015-16
Hollis Thompson,PHI,2154.0,-3.4,2015-16
Dion Waiters,OKC,2152.0,-2.8,2015-16
Elfrid Payton,ORL,2145.0,-1.2,2015-16
Jamal Crawford,LAC,2126.0,-1.4,2015-16
Hassan Whiteside,MIA,2125.0,4.1,2015-16
Bojan Bogdanović,BRK,2115.0,-3.5,2015-16
Devin Booker,PHO,2108.0,-2.8,2015-16
Deron Williams,DAL,2106.0,-0.3,2015-16
Allen Crabbe,POR,2105.0,-1.0,2015-16
Jared Dudley,WAS,2098.0,-0.1,2015-16
JJ Redick,LAC,2097.0,2.2,2015-16
Derrick Rose,CHI,2097.0,-2.5,2015-16
Mason Plumlee,POR,2084.0,1.5,2015-16
Kent Bazemore,ATL,2083.0,0.3,2015-16
Emmanuel Mudiay,DEN,2068.0,-4.2,2015-16
Jerami Grant,PHI,2066.0,-1.7,2015-16
Danny Green,SAS,2062.0,1.1,2015-16
Jeremy Lin,CHO,2048.0,-0.9,2015-16
Kristaps Porziņģis,NYK,2047.0,0.9,2015-16
Cory Joseph,TOR,2046.0,-1.2,2015-16
Harrison Barnes,GSW,2042.0,-1.3,2015-16
Patrick Beverley,HOU,2041.0,0.2,2015-16
Nikola Vučević,ORL,2037.0,1.9,2015-16
Langston Galloway,NYK,2033.0,-1.0,2015-16
José Calderón,NYK,2024.0,-0.6,2015-16
Patrick Patterson,TOR,2020.0,-0.1,2015-16
Zach Randolph,MEM,2016.0,-0.3,2015-16
Steven Adams,OKC,2014.0,0.2,2015-16
Ryan Anderson,NOP,2008.0,-0.2,2015-16
Zaza Pachulia,DAL,2004.0,-0.2,2015-16
Derrick Favors,UTA,1983.0,3.3,2015-16
Tony Parker,SAS,1980.0,0.4,2015-16
Dante Cunningham,NOP,1971.0,-2.8,2015-16
Isaiah Canaan,PHI,1966.0,-2.4,2015-16
Nerlens Noel,PHI,1965.0,-0.2,2015-16
Garrett Temple,WAS,1951.0,-2.1,2015-16
Taj Gibson,CHI,1936.0,0.0,2015-16
Rudy Gobert,UTA,1932.0,2.2,2015-16
Jared Sullinger,BOS,1915.0,0.6,2015-16
Lou Williams,LAL,1907.0,1.3,2015-16
Robert Covington,PHI,1903.0,-0.9,2015-16
Ersan İlyasova,2TM,1881.0,-0.2,2015-16
Ersan İlyasova,DET,1434.0,0.5,2015-16
Ersan İlyasova,ORL,447.0,-2.4,2015-16
Omri Casspi,SAC,1880.0,0.1,2015-16
Roy Hibbert,LAL,1878.0,-3.2,2015-16
Brandon Knight,PHO,1870.0,-0.6,2015-16
Matthew Dellavedova,CLE,1867.0,-1.2,2015-16
Aaron Gordon,ORL,1863.0,1.0,2015-16
Kobe Bryant,LAL,1863.0,-1.6,2015-16
Doug McDermott,CHI,1861.0,-2.9,2015-16
Danilo Gallinari,DEN,1839.0,2.7,2015-16
Jrue Holiday,NOP,1831.0,2.1,2015-16
Alex Len,PHO,1821.0,-4.3,2015-16
Ian Mahinmi,IND,1816.0,0.9,2015-16
Nik Stauskas,PHI,1809.0,-3.8,2015-16
Bismack Biyombo,TOR,1808.0,-0.2,2015-16
Amir Johnson,BOS,1800.0,1.2,2015-16
Chandler Parsons,DAL,1799.0,2.0,2015-16
Marc Gasol,MEM,1791.0,1.7,2015-16
Chris Bosh,MIA,1778.0,4.0,2015-16
Cody Zeller,CHO,1774.0,-0.1,2015-16
Mike Conley,MEM,1761.0,3.0,2015-16
Thabo Sefolosha,ATL,1758.0,0.8,2015-16
Shane Larkin,BRK,1751.0,-2.0,2015-16
Terrence Ross,TOR,1747.0,0.3,2015-16
Nikola Jokić,DEN,1733.0,3.9,2015-16
Andre Iguodala,GSW,1732.0,1.1,2015-16
Enes Freedom,OKC,1721.0,1.2,2015-16
Frank Kaminsky,CHO,1708.0,-0.8,2015-16
Bradley Beal,WAS,1708.0,0.3,2015-16
Kenneth Faried,DEN,1694.0,0.3,2015-16
Stanley Johnson,DET,1687.0,-3.3,2015-16
Mirza Teletović,PHO,1686.0,1.3,2015-16
Ed Davis,POR,1684.0,1.9,2015-16
Shabazz Muhammad,MIN,1682.0,-2.5,2015-16
Marco Belinelli,SAC,1672.0,-3.8,2015-16
