PLAYER,TEAM_BBREF,MP,BPM,SEASON
Andrew Wiggins,MIN,3048.0,-1.7,2016-17
Karl-Anthony Towns,MIN,3030.0,4.7,2016-17
James Harden,HOU,2947.0,8.7,2016-17
Giannis Antetokounmpo,MIL,2845.0,7.3,2016-17
John Wall,WAS,2836.0,4.7,2016-17
Jimmy Butler,CHI,2809.0,7.3,2016-17
Harrison Barnes,DAL,2803.0,-0.8,2016-17
Russell Westbrook,OKC,2802.0,11.1,2016-17
CJ McCollum,POR,2796.0,2.0,2016-17
LeBron James,CLE,2794.0,7.6,2016-17
Trevor Ariza,HOU,2773.0,1.0,2016-17
Rudy Gobert,UTA,2744.0,4.4,2016-17
Kemba Walker,CHO,2739.0,4.1,2016-17
Devin Booker,PHO,2730.0,-1.9,2016-17
Anthony Davis,NOP,2708.0,5.9,2016-17
Damian Lillard,POR,2694.0,5.0,2016-17
Paul George,IND,2689.0,3.1,2016-17
Bradley Beal,WAS,2684.0,3.3,2016-17
Jeff Teague,IND,2657.0,2.2,2016-17
Gorgui Dieng,MIN,2653.0,-0.1,2016-17
Klay Thompson,GSW,2649.0,0.8,2016-17
Stephen Curry,GSW,2638.0,6.9,2016-17
DeMar DeRozan,TOR,2620.0,3.0,2016-17
Nicolas Batum,CHO,2617.0,0.8,2016-17
Otto Porter Jr.,WAS,2605.0,3.3,2016-17
DeAndre Jordan,LAC,2570.0,3.3,2016-17
Isaiah Thomas,BOS,2569.0,6.7,2016-17
Tobias Harris,DET,2567.0,1.6,2016-17
Marcus Morris,DET,2565.0,-1.1,2016-17
Marcin Gortat,WAS,2556.0,-0.8,2016-17
Myles Turner,IND,2541.0,1.1,2016-17
Carmelo Anthony,NYK,2538.0,0.7,2016-17
Marc Gasol,MEM,2531.0,5.2,2016-17
Kentavious Caldwell-Pope,DET,2529.0,-0.2,2016-17
Kyrie Irving,CLE,2525.0,3.4,2016-17
Gordon Hayward,UTA,2516.0,5.0,2016-17
Hassan Whiteside,MIA,2513.0,1.5,2016-17
Wesley Matthews,DAL,2495.0,-0.8,2016-17
Dennis Schröder,ATL,2485.0,0.0,2016-17
Kawhi Leonard,SAS,2474.0,9.4,2016-17
Draymond Green,GSW,2471.0,4.9,2016-17
Ricky Rubio,MIN,2469.0,0.9,2016-17
DeMarcus Cousins,2TM,2465.0,6.8,2016-17
DeMarcus Cousins,SAC,1891.0,7.2,2016-17
DeMarcus Cousins,NOP,574.0,5.5,2016-17
Courtney Lee,NYK,2459.0,-0.9,2016-17
Goran Dragić,MIA,2459.0,2.6,2016-17
Serge Ibaka,2TM,2422.0,0.1,2016-17
Serge Ibaka,ORL,1710.0,0.7,2016-17
Serge Ibaka,TOR,712.0,-1.5,2016-17
Elfrid Payton,ORL,2412.0,0.8,2016-17
Andre Drummond,DET,2409.0,1.0,2016-17
Marcus Smart,BOS,2399.0,-1.3,2016-17
Jordan Clarkson,LAL,2397.0,-2.5,2016-17
Steven Adams,OKC,2389.0,-0.2,2016-17
Andre Roberson,OKC,2376.0,-1.0,2016-17
Solomon Hill,NOP,2374.0,-2.7,2016-17
Markieff Morris,WAS,2374.0,-1.5,2016-17
Michael Kidd-Gilchrist,CHO,2349.0,-0.7,2016-17
Paul Millsap,ATL,2343.0,2.1,2016-17
Tony Snell,MIL,2336.0,-1.7,2016-17
Tristan Thompson,CLE,2336.0,-0.7,2016-17
LaMarcus Aldridge,SAS,2335.0,0.8,2016-17
Jae Crowder,BOS,2335.0,0.9,2016-17
Eric Gordon,HOU,2323.0,-0.1,2016-17
Aaron Gordon,ORL,2298.0,-1.0,2016-17
Marvin Williams,CHO,2295.0,0.0,2016-17
Mike Conley,MEM,2292.0,6.8,2016-17
Brandon Ingram,LAL,2279.0,-4.4,2016-17
Robin Lopez,CHI,2271.0,-2.2,2016-17
Allen Crabbe,POR,2254.0,-1.3,2016-17
Kyle Lowry,TOR,2244.0,6.1,2016-17
Thaddeus Young,IND,2237.0,0.5,2016-17
P.J. Tucker,2TM,2236.0,-0.3,2016-17
P.J. Tucker,PHO,1627.0,-0.6,2016-17
P.J. Tucker,TOR,609.0,0.5,2016-17
Evan Fournier,ORL,2234.0,-1.3,2016-17
Maurice Harkless,POR,2223.0,-0.6,2016-17
Brook Lopez,BRK,2222.0,2.3,2016-17
Victor Oladipo,OKC,2222.0,-0.5,2016-17
Dwight Howard,ATL,2199.0,1.4,2016-17
JJ Redick,LAC,2198.0,0.4,2016-17
Wilson Chandler,DEN,2197.0,-1.0,2016-17
Al Horford,BOS,2193.0,3.4,2016-17
Jrue Holiday,NOP,2190.0,1.3,2016-17
Nik Stauskas,PHI,2188.0,-2.8,2016-17
Tyler Johnson,MIA,2178.0,1.4,2016-17
Eric Bledsoe,PHO,2176.0,3.6,2016-17
Kristaps Porziņģis,NYK,2164.0,0.3,2016-17
Nikola Vučević,ORL,2163.0,1.4,2016-17
Jamal Crawford,LAC,2157.0,-2.1,2016-17
Tim Hardaway Jr.,ATL,2154.0,0.5,2016-17
Mason Plumlee,2TM,2148.0,2.0,2016-17
Mason Plumlee,POR,1516.0,2.8,2016-17
Mason Plumlee,DEN,632.0,-0.1,2016-17
Ersan İlyasova,3TM,2142.0,0.1,2016-17
Ersan İlyasova,OKC,62.0,-2.7,2016-17
Ersan İlyasova,PHI,1447.0,0.4,2016-17
Ersan İlyasova,ATL,633.0,-0.4,2016-17
Danilo Gallinari,DEN,2134.0,1.4,2016-17
T.J. McConnell,PHI,2133.0,-1.0,2016-17
Julius Randle,LAL,2132.0,-0.9,2016-17
Dario Šarić,PHI,2129.0,-2.3,2016-17
Robert Covington,PHI,2119.0,0.2,2016-17
Ryan Anderson,HOU,2116.0,-0.4,2016-17
JaMychal Green,MEM,2101.0,-0.8,2016-17
James Johnson,MIA,2085.0,2.8,2016-17
Bojan Bogdanović,2TM,2083.0,-2.2,2016-17
Bojan Bogdanović,BRK,1482.0,-2.6,2016-17
Bojan Bogdanović,WAS,601.0,-1.2,2016-17
Derrick Rose,NYK,2082.0,-1.0,2016-17
Blake Griffin,LAC,2076.0,4.7,2016-17
Kevin Durant,GSW,2070.0,8.9,2016-17
Jonas Valančiūnas,TOR,2066.0,0.3,2016-17
Darren Collison,SAC,2063.0,-0.9,2016-17
Patrick Beverley,HOU,2058.0,1.1,2016-17
Austin Rivers,LAC,2054.0,-2.2,2016-17
T.J. Warren,PHO,2048.0,-0.6,2016-17
Jameer Nelson,DEN,2045.0,-2.0,2016-17
Nikola Jokić,DEN,2038.0,7.3,2016-17
Seth Curry,DAL,2029.0,1.2,2016-17
Cory Joseph,TOR,2003.0,-1.3,2016-17
Andre Iguodala,GSW,1998.0,2.5,2016-17
Monta Ellis,IND,1998.0,-2.9,2016-17
Lou Williams,2TM,1994.0,3.9,2016-17
Lou Williams,LAL,1403.0,5.8,2016-17
Lou Williams,HOU,591.0,-0.5,2016-17
Taj Gibson,2TM,1989.0,-1.5,2016-17
Taj Gibson,CHI,1502.0,-1.2,2016-17
Taj Gibson,OKC,487.0,-2.5,2016-17
Matthew Dellavedova,MIL,1986.0,-4.2,2016-17
Malcolm Brogdon,MIL,1982.0,-0.4,2016-17
Joe Ingles,UTA,1972.0,1.6,2016-17
Rodney McGruder,MIA,1966.0,-1.9,2016-17
Kent Bazemore,ATL,1963.0,-1.0,2016-17
Ish Smith,DET,1955.0,0.3,2016-17
Terrence Ross,2TM,1955.0,-0.2,2016-17
Terrence Ross,TOR,1207.0,1.2,2016-17
Terrence Ross,ORL,748.0,-2.5,2016-17
Frank Kaminsky,CHO,1954.0,-1.2,2016-17
Jon Leuer,DET,1944.0,-0.1,2016-17
Iman Shumpert,CLE,1937.0,-2.3,2016-17
Chris Paul,LAC,1921.0,8.7,2016-17
Tony Allen,MEM,1914.0,-1.0,2016-17
Buddy Hield,2TM,1888.0,-2.0,2016-17
Buddy Hield,NOP,1161.0,-2.8,2016-17
Buddy Hield,SAC,727.0,-0.8,2016-17
Kevin Love,CLE,1885.0,2.1,2016-17
DeMarre Carroll,TOR,1882.0,0.0,2016-17
Joe Johnson,UTA,1843.0,0.4,2016-17
Rajon Rondo,CHI,1843.0,-0.5,2016-17
Avery Bradley,BOS,1835.0,-0.6,2016-17
Greg Monroe,MIL,1823.0,1.8,2016-17
E'Twaun Moore,NOP,1820.0,-1.6,2016-17
D'Angelo Russell,LAL,1811.0,-0.8,2016-17
Danny Green,SAS,1807.0,0.8,2016-17
Brandon Jennings,2TM,1802.0,-2.4,2016-17
Brandon Jennings,NYK,1428.0,-2.0,2016-17
Brandon Jennings,WAS,374.0,-4.0,2016-17
Vince Carter,MEM,1799.0,0.8,2016-17
Bismack Biyombo,ORL,1793.0,-3.2,2016-17
Dwyane Wade,CHI,1792.0,2.5,2016-17
Luc Mbah a Moute,LAC,1787.0,-0.2,2016-17
Zach Randolph,MEM,1786.0,-0.5,2016-17
Gary Harris,DEN,1782.0,0.7,2016-17
Marco Belinelli,CHO,1778.0,-1.1,2016-17
Matt Barnes,2TM,1777.0,-1.4,2016-17
Matt Barnes,SAC,1367.0,-1.6,2016-17
Matt Barnes,GSW,410.0,-0.7,2016-17
C.J. Miles,IND,1776.0,0.5,2016-17
Al-Farouq Aminu,POR,1773.0,-1.1,2016-17
Jamal Murray,DEN,1764.0,-2.0,2016-17
Rondae Hollis-Jefferson,BRK,1761.0,-1.3,2016-17
Patty Mills,SAS,1754.0,1.6,2016-17
Trevor Booker,BRK,1754.0,-0.6,2016-17
Sean Kilpatrick,BRK,1754.0,-2.3,2016-17
Kyle Korver,2TM,1753.0,0.0,2016-17
Kyle Korver,ATL,894.0,-0.4,2016-17
Kyle Korver,CLE,859.0,0.3,2016-17
Zach LaVine,MIN,1749.0,0.1,2016-17
Marquese Chriss,PHO,1743.0,-2.2,2016-17
Ty Lawson,SAC,1732.0,-1.0,2016-17
Garrett Temple,SAC,1728.0,-0.8,2016-17
Jabari Parker,MIL,1728.0,0.7,2016-17
Cody Zeller,CHO,1725.0,0.2,2016-17
Will Barton,DEN,1705.0,0.2,2016-17
Raymond Felton,LAC,1700.0,-1.3,2016-17
Nikola Mirotić,CHI,1679.0,0.7,2016-17
Gerald Henderson,PHI,1667.0,-3.1,2016-17
Evan Turner,POR,1658.0,-2.5,2016-17
Deron Williams,2TM,1657.0,-1.8,2016-17
Deron Williams,DAL,1171.0,-1.3,2016-17
Deron Williams,CLE,486.0,-3.0,2016-17
Dante Cunningham,NOP,1649.0,-1.6,2016-17
Isaiah Whitehead,BRK,1643.0,-5.1,2016-17
Dorian Finney-Smith,DAL,1642.0,-2.6,2016-17
Justin Holiday,NYK,1639.0,-0.3,2016-17
Domantas Sabonis,OKC,1632.0,-4.5,2016-17
Pau Gasol,SAS,1627.0,4.0,2016-17
Richard Jefferson,CLE,1614.0,-3.1,2016-17
