PLAYER,TEAM_BBREF,MP,BPM,SEASON
Andre Iguodala,PHI,3269.0,3.2,2008-09
Joe Johnson,ATL,3124.0,1.8,2008-09
O.J. Mayo,MEM,3120.0,-1.3,2008-09
Antawn Jamison,WAS,3096.0,1.6,2008-09
Raymond Felton,CHA,3086.0,-0.1,2008-09
Tayshaun Prince,DET,3057.0,1.2,2008-09
LeBron James,CLE,3054.0,13.2,2008-09
Dirk Nowitzki,DAL,3050.0,3.4,2008-09
Dwyane Wade,MIA,3048.0,10.6,2008-09
Paul Pierce,BOS,3035.0,3.1,2008-09
LaMarcus Aldridge,POR,3004.0,1.3,2008-09
Chris Paul,NOH,3002.0,11.0,2008-09
Derrick Rose,CHI,3000.0,-0.4,2008-09
Ben Gordon,CHI,2999.0,1.1,2008-09
Pau Gasol,LAL,2999.0,4.5,2008-09
David West,NOH,2982.0,0.6,2008-09
Andre Miller,PHI,2976.0,2.4,2008-09
Kobe Bryant,LAL,2960.0,5.9,2008-09
John Salmons,2TM,2959.0,0.3,2008-09
John Salmons,SAC,1980.0,-0.2,2008-09
John Salmons,CHI,979.0,1.3,2008-09
Vince Carter,NJN,2946.0,2.4,2008-09
Rudy Gay,MEM,2945.0,-1.1,2008-09
Richard Jefferson,MIL,2939.0,0.2,2008-09
Chris Bosh,TOR,2928.0,2.7,2008-09
Chris Duhon,NYK,2906.0,-1.5,2008-09
Brandon Roy,POR,2903.0,6.2,2008-09
Jason Kidd,DAL,2886.0,3.6,2008-09
Kevin Durant,OKC,2885.0,3.3,2008-09
Ray Allen,BOS,2876.0,4.0,2008-09
Jeff Green,OKC,2873.0,-1.2,2008-09
Rashard Lewis,ORL,2859.0,3.7,2008-09
Mo Williams,CLE,2834.0,2.3,2008-09
David Lee,NYK,2824.0,0.8,2008-09
Dwight Howard,ORL,2821.0,4.5,2008-09
Hedo Türkoğlu,ORL,2815.0,1.3,2008-09
Chauncey Billups,2TM,2789.0,3.4,2008-09
Chauncey Billups,DET,70.0,1.0,2008-09
Chauncey Billups,DEN,2719.0,3.4,2008-09
Boris Diaw,2TM,2754.0,1.2,2008-09
Boris Diaw,PHO,538.0,-0.1,2008-09
Boris Diaw,CHA,2216.0,1.5,2008-09
Mike Bibby,ATL,2740.0,2.0,2008-09
Wilson Chandler,NYK,2735.0,-1.0,2008-09
Jarrett Jack,IND,2716.0,-1.4,2008-09
Emeka Okafor,CHA,2691.0,0.2,2008-09
Eric Gordon,LAC,2677.0,-0.4,2008-09
Gerald Wallace,CHA,2669.0,3.5,2008-09
Russell Westbrook,OKC,2668.0,-1.0,2008-09
Al Thornton,LAC,2654.0,-4.1,2008-09
Rajon Rondo,BOS,2642.0,4.0,2008-09
Anthony Parker,TOR,2637.0,-0.7,2008-09
Mario Chalmers,MIA,2626.0,-0.4,2008-09
Rasual Butler,NOH,2614.0,-0.5,2008-09
Ryan Gomes,MIN,2614.0,-1.7,2008-09
Ronnie Brewer,UTA,2605.0,1.5,2008-09
Yao Ming,HOU,2589.0,3.1,2008-09
Caron Butler,WAS,2585.0,0.9,2008-09
Thaddeus Young,PHI,2580.0,-0.1,2008-09
Udonis Haslem,MIA,2560.0,-2.3,2008-09
Al Harrington,2TM,2546.0,-0.2,2008-09
Al Harrington,GSW,166.0,-2.3,2008-09
Al Harrington,NYK,2380.0,0.0,2008-09
Tim Duncan,SAS,2524.0,5.4,2008-09
Marc Gasol,MEM,2521.0,-0.1,2008-09
Rodney Stuckey,DET,2517.0,-0.5,2008-09
Nenê,DEN,2510.0,2.0,2008-09
Mike Conley,MEM,2508.0,-0.3,2008-09
Deron Williams,UTA,2505.0,4.0,2008-09
Brook Lopez,NJN,2501.0,-0.6,2008-09
Roger Mason,SAS,2496.0,-0.9,2008-09
Randy Foye,MIN,2494.0,-0.8,2008-09
Devin Harris,NJN,2494.0,2.8,2008-09
Jason Terry,DAL,2491.0,2.9,2008-09
Luis Scola,HOU,2488.0,0.5,2008-09
Steve Nash,PHO,2484.0,2.4,2008-09
Troy Murphy,IND,2482.0,3.2,2008-09
Jamal Crawford,2TM,2479.0,-1.3,2008-09
Jamal Crawford,NYK,392.0,0.3,2008-09
Jamal Crawford,GSW,2087.0,-1.6,2008-09
Shawn Marion,2TM,2470.0,0.3,2008-09
Shawn Marion,MIA,1516.0,0.4,2008-09
Shawn Marion,TOR,954.0,0.1,2008-09
