PLAYER,TEAM_BBREF,MP,BPM,SEASON
Kevin Durant,OKC,3239.0,7.1,2009-10
Andre Iguodala,PHI,3193.0,2.4,2009-10
Rudy Gay,MEM,3175.0,0.5,2009-10
Stephen Jackson,2TM,3129.0,0.4,2009-10
Stephen Jackson,GSW,300.0,-1.3,2009-10
Stephen Jackson,CHA,2829.0,0.6,2009-10
Gerald Wallace,CHA,3119.0,2.7,2009-10
O.J. Mayo,MEM,3113.0,0.0,2009-10
Zach Randolph,MEM,3051.0,1.3,2009-10
Jeff Green,OKC,3043.0,0.2,2009-10
Dirk Nowitzki,DAL,3039.0,4.2,2009-10
Brook Lopez,NJN,3027.0,1.2,2009-10
David Lee,NYK,3019.0,2.5,2009-10
LeBron James,CLE,2966.0,11.8,2009-10
Rajon Rondo,BOS,2963.0,3.6,2009-10
David West,NOH,2949.0,0.8,2009-10
LaMarcus Aldridge,POR,2922.0,1.2,2009-10
Aaron Brooks,HOU,2919.0,0.7,2009-10
Boris Diaw,CHA,2906.0,0.8,2009-10
Stephen Curry,GSW,2896.0,0.7,2009-10
Joe Johnson,ATL,2886.0,2.7,2009-10
Jason Kidd,DAL,2881.0,4.2,2009-10
Josh Smith,ATL,2871.0,5.1,2009-10
Derrick Rose,CHI,2871.0,1.7,2009-10
Al Horford,ATL,2845.0,2.3,2009-10
Dwight Howard,ORL,2843.0,4.4,2009-10
Amar'e Stoudemire,PHO,2838.0,1.0,2009-10
Kobe Bryant,LAL,2835.0,4.1,2009-10
John Salmons,2TM,2824.0,1.6,2009-10
John Salmons,CHI,1695.0,0.5,2009-10
John Salmons,MIL,1129.0,3.2,2009-10
Ray Allen,BOS,2819.0,1.2,2009-10
Russell Westbrook,OKC,2813.0,1.2,2009-10
Deron Williams,UTA,2802.0,3.8,2009-10
Andrea Bargnani,TOR,2799.0,-0.8,2009-10
Dwyane Wade,MIA,2792.0,9.2,2009-10
Caron Butler,2TM,2783.0,-1.3,2009-10
Caron Butler,WAS,1853.0,-1.3,2009-10
Caron Butler,DAL,930.0,-1.3,2009-10
Nenê,DEN,2755.0,3.2,2009-10
Danilo Gallinari,NYK,2747.0,0.5,2009-10
Rasual Butler,LAC,2702.0,-1.9,2009-10
Tyreke Evans,SAC,2677.0,1.3,2009-10
Carlos Boozer,UTA,2673.0,3.4,2009-10
Brandon Jennings,MIL,2671.0,0.7,2009-10
Luis Scola,HOU,2671.0,-0.3,2009-10
Steve Nash,PHO,2660.0,4.3,2009-10
Luol Deng,CHI,2651.0,1.0,2009-10
Monta Ellis,GSW,2647.0,-1.4,2009-10
Raymond Felton,CHA,2643.0,1.6,2009-10
Carmelo Anthony,DEN,2634.0,2.3,2009-10
Trevor Ariza,HOU,2629.0,0.5,2009-10
Chris Kaman,LAC,2608.0,-2.5,2009-10
Metta World Peace,LAL,2605.0,0.5,2009-10
Lamar Odom,LAL,2585.0,2.5,2009-10
Mike Conley,MEM,2569.0,-0.6,2009-10
Jason Terry,DAL,2540.0,1.5,2009-10
Chris Bosh,TOR,2526.0,3.6,2009-10
Baron Davis,LAC,2523.0,1.5,2009-10
Richard Jefferson,SAS,2520.0,-0.2,2009-10
Andre Miller,POR,2500.0,1.8,2009-10
Rodney Stuckey,DET,2499.0,-0.4,2009-10
Brandon Rush,IND,2491.0,-1.3,2009-10
Chauncey Billups,DEN,2490.0,3.7,2009-10
Jason Richardson,PHO,2485.0,1.7,2009-10
Corey Brewer,MIN,2482.0,-2.2,2009-10
Kirk Hinrich,CHI,2481.0,-0.5,2009-10
Beno Udrih,SAC,2477.0,0.4,2009-10
Marc Gasol,MEM,2469.0,2.8,2009-10
Carl Landry,2TM,2469.0,0.8,2009-10
Carl Landry,HOU,1415.0,1.9,2009-10
Carl Landry,SAC,1054.0,-0.8,2009-10
Marvin Williams,ATL,2468.0,-0.4,2009-10
Al Jefferson,MIN,2463.0,0.4,2009-10
Jamal Crawford,ATL,2460.0,2.4,2009-10
Tim Duncan,SAS,2438.0,6.1,2009-10
Grant Hill,PHO,2430.0,0.6,2009-10
Brandon Roy,POR,2419.0,4.7,2009-10
Paul Pierce,BOS,2411.0,3.0,2009-10
Antawn Jamison,2TM,2406.0,0.2,2009-10
Antawn Jamison,WAS,1595.0,0.3,2009-10
Antawn Jamison,CLE,811.0,0.0,2009-10
Pau Gasol,LAL,2403.0,4.9,2009-10
Shawn Marion,DAL,2385.0,-0.5,2009-10
Courtney Lee,NJN,2375.0,-1.4,2009-10
Emeka Okafor,NOH,2370.0,-1.2,2009-10
Rashard Lewis,ORL,2369.0,1.8,2009-10
Mo Williams,CLE,2359.0,1.8,2009-10
Jason Thompson,SAC,2357.0,-2.4,2009-10
Brendan Haywood,2TM,2355.0,-0.1,2009-10
Brendan Haywood,WAS,1614.0,-0.4,2009-10
Brendan Haywood,DAL,741.0,0.6,2009-10
Thabo Sefolosha,OKC,2348.0,0.1,2009-10
Troy Murphy,IND,2344.0,2.9,2009-10
Jonny Flynn,MIN,2339.0,-2.9,2009-10
Michael Beasley,MIA,2328.0,-0.8,2009-10
Earl Watson,IND,2322.0,-2.3,2009-10
Wilson Chandler,NYK,2320.0,-2.1,2009-10
Marcus Camby,2TM,2314.0,3.3,2009-10
Marcus Camby,LAC,1596.0,3.5,2009-10
Marcus Camby,POR,718.0,2.9,2009-10
Vince Carter,ORL,2310.0,2.0,2009-10
Elton Brand,PHI,2297.0,-1.8,2009-10
Anthony Parker,CLE,2289.0,-0.3,2009-10
Carlos Delfino,MIL,2279.0,1.5,2009-10
Danny Granger,IND,2278.0,3.1,2009-10
Paul Millsap,UTA,2277.0,0.4,2009-10
George Hill,SAS,2276.0,0.9,2009-10
Hedo Türkoğlu,TOR,2272.0,0.4,2009-10
Andray Blatche,WAS,2256.0,0.6,2009-10
Jarrett Jack,TOR,2243.0,0.4,2009-10
Jonas Jerebko,DET,2232.0,-1.3,2009-10
Andrew Bogut,MIL,2229.0,3.1,2009-10
Eric Gordon,LAC,2229.0,-0.9,2009-10
Derek Fisher,LAL,2227.0,-1.7,2009-10
Arron Afflalo,DEN,2221.0,-0.4,2009-10
Devin Harris,NJN,2221.0,-0.8,2009-10
Ryan Gomes,MIN,2210.0,-1.8,2009-10
Taj Gibson,CHI,2204.0,-2.0,2009-10
Mike Bibby,ATL,2195.0,-0.2,2009-10
Al Harrington,NYK,2195.0,-0.8,2009-10
Channing Frye,PHO,2190.0,2.7,2009-10
