PLAYER,TEAM_BBREF,MP,BPM,SEASON
Bradley Beal,WAS,3028.0,2.9,2018-19
James Harden,HOU,2867.0,11.0,2018-19
Kemba Walker,CHO,2863.0,4.2,2018-19
Tobias Harris,2TM,2847.0,1.6,2018-19
Tobias Harris,LAC,1903.0,2.4,2018-19
Tobias Harris,PHI,944.0,-0.1,2018-19
Paul George,OKC,2841.0,7.2,2018-19
Damian Lillard,POR,2838.0,6.4,2018-19
P.J. Tucker,HOU,2802.0,-0.6,2018-19
Kevin Durant,GSW,2702.0,5.5,2018-19
Ben Simmons,PHI,2700.0,3.6,2018-19
DeMar DeRozan,SAS,2688.0,1.1,2018-19
LaMarcus Aldridge,SAS,2687.0,1.8,2018-19
Steven Adams,OKC,2669.0,1.1,2018-19
Klay Thompson,GSW,2652.0,-0.3,2018-19
Andre Drummond,DET,2647.0,2.1,2018-19
Aaron Gordon,ORL,2633.0,0.6,2018-19
Russell Westbrook,OKC,2630.0,5.2,2018-19
Blake Griffin,DET,2622.0,5.1,2018-19
Buddy Hield,SAC,2615.0,2.1,2018-19
Jerami Grant,OKC,2612.0,0.2,2018-19
Justin Holiday,2TM,2607.0,-1.8,2018-19
Justin Holiday,CHI,1325.0,-0.3,2018-19
Justin Holiday,MEM,1282.0,-3.4,2018-19
Collin Sexton,CLE,2605.0,-4.7,2018-19
Donovan Mitchell,UTA,2598.0,1.3,2018-19
Rudy Gobert,UTA,2577.0,5.4,2018-19
Bojan Bogdanović,IND,2573.0,0.7,2018-19
Joe Ingles,UTA,2568.0,1.4,2018-19
Evan Fournier,ORL,2553.0,-2.4,2018-19
Pascal Siakam,TOR,2548.0,2.4,2018-19
De'Aaron Fox,SAC,2546.0,1.5,2018-19
Karl-Anthony Towns,MIN,2545.0,6.0,2018-19
Andrew Wiggins,MIN,2543.0,-3.0,2018-19
Josh Richardson,MIA,2539.0,0.3,2018-19
Harrison Barnes,2TM,2533.0,-1.4,2018-19
Harrison Barnes,DAL,1584.0,-1.2,2018-19
Harrison Barnes,SAC,949.0,-1.7,2018-19
Nikola Vučević,ORL,2510.0,6.6,2018-19
Nikola Jokić,DEN,2504.0,9.1,2018-19
Trae Young,ATL,2503.0,-0.6,2018-19
Thaddeus Young,IND,2489.0,1.5,2018-19
Jayson Tatum,BOS,2455.0,-0.2,2018-19
D'Angelo Russell,BRK,2448.0,3.4,2018-19
Jamal Murray,DEN,2447.0,0.6,2018-19
Cedi Osman,CLE,2444.0,-3.2,2018-19
Marc Gasol,2TM,2436.0,3.1,2018-19
Marc Gasol,MEM,1788.0,3.2,2018-19
Marc Gasol,TOR,648.0,2.9,2018-19
Mikal Bridges,PHO,2417.0,-1.6,2018-19
Jrue Holiday,NOP,2402.0,3.0,2018-19
Khris Middleton,MIL,2393.0,0.8,2018-19
JJ Redick,PHI,2379.0,0.2,2018-19
CJ McCollum,POR,2375.0,1.0,2018-19
Giannis Antetokounmpo,MIL,2358.0,10.4,2018-19
Nicolas Batum,CHO,2354.0,-0.3,2018-19
Trevor Ariza,2TM,2349.0,-1.3,2018-19
Trevor Ariza,PHO,884.0,-1.1,2018-19
Trevor Ariza,WAS,1465.0,-1.4,2018-19
Mike Conley,MEM,2342.0,4.7,2018-19
Stephen Curry,GSW,2331.0,6.6,2018-19
Brook Lopez,MIL,2322.0,2.2,2018-19
Luka Dončić,DAL,2318.0,3.9,2018-19
Dennis Schröder,OKC,2314.0,-2.0,2018-19
Kyle Kuzma,LAL,2314.0,-1.4,2018-19
Bryn Forbes,SAS,2293.0,-1.2,2018-19
Joe Harris,BRK,2293.0,0.5,2018-19
Al-Farouq Aminu,POR,2292.0,0.7,2018-19
Reggie Jackson,DET,2289.0,0.4,2018-19
Eric Bledsoe,MIL,2272.0,3.1,2018-19
D.J. Augustin,ORL,2269.0,0.5,2018-19
Jeremy Lamb,CHO,2250.0,1.2,2018-19
Clint Capela,HOU,2249.0,3.0,2018-19
Devin Booker,PHO,2242.0,1.0,2018-19
Julius Randle,NOP,2232.0,1.5,2018-19
Danny Green,TOR,2216.0,2.0,2018-19
Jordan Clarkson,CLE,2214.0,-0.5,2018-19
Kyrie Irving,BOS,2214.0,7.2,2018-19
Willie Cauley-Stein,SAC,2213.0,1.2,2018-19
Kyle Lowry,TOR,2213.0,2.3,2018-19
Marcus Smart,BOS,2200.0,0.8,2018-19
Jimmy Butler,2TM,2185.0,3.7,2018-19
Jimmy Butler,MIN,361.0,6.9,2018-19
Jimmy Butler,PHI,1824.0,3.1,2018-19
Deandre Ayton,PHO,2183.0,0.2,2018-19
Shai Gilgeous-Alexander,LAC,2174.0,-0.5,2018-19
Zach LaVine,CHI,2171.0,0.8,2018-19
Jae Crowder,UTA,2166.0,0.3,2018-19
Tomáš Satoranský,WAS,2164.0,-0.7,2018-19
Montrezl Harrell,LAC,2158.0,3.3,2018-19
Kevin Knox,NYK,2158.0,-5.7,2018-19
Eric Gordon,HOU,2158.0,-1.3,2018-19
Joel Embiid,PHI,2154.0,4.9,2018-19
Terrence Ross,ORL,2150.0,0.8,2018-19
Darren Collison,IND,2143.0,1.8,2018-19
Patrick Beverley,LAC,2137.0,0.9,2018-19
Marvin Williams,CHO,2133.0,-0.3,2018-19
Myles Turner,IND,2119.0,2.5,2018-19
Jeff Green,WAS,2097.0,-1.4,2018-19
Jarrett Allen,BRK,2096.0,1.6,2018-19
Marcus Morris,BOS,2091.0,-0.9,2018-19
Wesley Matthews,3TM,2091.0,-1.8,2018-19
Wesley Matthews,DAL,1312.0,-1.3,2018-19
Wesley Matthews,NYK,54.0,-6.6,2018-19
Wesley Matthews,IND,725.0,-2.4,2018-19
Draymond Green,GSW,2065.0,1.4,2018-19
Cory Joseph,IND,2063.0,-0.4,2018-19
Danilo Gallinari,LAC,2059.0,4.3,2018-19
Tim Hardaway Jr.,2TM,2057.0,-2.0,2018-19
Tim Hardaway Jr.,NYK,1499.0,-1.6,2018-19
Tim Hardaway Jr.,DAL,558.0,-3.2,2018-19
Kevin Huerter,ATL,2048.0,-2.4,2018-19
