PLAYER,TEAM_BBREF,MP,BPM,SEASON
Mikal Bridges,NYK,3036.0,-0.5,2024-25
Josh Hart,NYK,2897.0,2.8,2024-25
Anthony Edwards,MIN,2871.0,4.3,2024-25
Devin Booker,PHO,2795.0,0.4,2024-25
James Harden,LAC,2789.0,4.3,2024-25
DeMar DeRozan,SAC,2768.0,-0.1,2024-25
Trae Young,ATL,2739.0,0.5,2024-25
Tyler Herro,MIA,2725.0,3.1,2024-25
OG Anunoby,NYK,2706.0,0.7,2024-25
Jalen Green,HOU,2697.0,0.5,2024-25
Christian Braun,DEN,2675.0,0.3,2024-25
Bam Adebayo,MIA,2674.0,2.0,2024-25
Ivica Zubac,LAC,2624.0,3.1,2024-25
Jayson Tatum,BOS,2624.0,5.2,2024-25
Jaden McDaniels,MIN,2614.0,0.0,2024-25
Keegan Murray,SAC,2610.0,-1.6,2024-25
Zach LaVine,2TM,2602.0,0.7,2024-25
Zach LaVine,CHI,1432.0,1.6,2024-25
Zach LaVine,SAC,1170.0,-0.4,2024-25
Shai Gilgeous-Alexander,OKC,2598.0,11.5,2024-25
Michael Porter Jr.,DEN,2593.0,-0.1,2024-25
Derrick White,BOS,2574.0,3.5,2024-25
Dyson Daniels,ATL,2571.0,1.5,2024-25
Nikola Jokić,DEN,2571.0,13.3,2024-25
Austin Reaves,LAL,2550.0,1.9,2024-25
Toumani Camara,POR,2548.0,-0.1,2024-25
Pascal Siakam,IND,2548.0,1.7,2024-25
Brook Lopez,MIL,2546.0,0.8,2024-25
Karl-Anthony Towns,NYK,2517.0,3.6,2024-25
Bub Carrington,WAS,2458.0,-4.6,2024-25
Cade Cunningham,DET,2452.0,3.9,2024-25
Tyrese Haliburton,IND,2451.0,5.8,2024-25
Coby White,CHI,2450.0,-0.9,2024-25
LeBron James,LAL,2444.0,5.6,2024-25
Domantas Sabonis,SAC,2429.0,5.2,2024-25
Jamal Murray,DEN,2418.0,0.8,2024-25
Alperen Şengün,HOU,2395.0,4.4,2024-25
Rudy Gobert,MIN,2389.0,1.9,2024-25
Dillon Brooks,HOU,2388.0,-1.4,2024-25
Tobias Harris,DET,2306.0,0.1,2024-25
Darius Garland,CLE,2301.0,3.1,2024-25
Jalen Brunson,NYK,2301.0,3.3,2024-25
Jarrett Allen,CLE,2296.0,4.2,2024-25
Chris Paul,SAS,2292.0,0.8,2024-25
Anfernee Simons,POR,2292.0,-0.1,2024-25
Giannis Antetokounmpo,MIL,2289.0,9.5,2024-25
Malik Beasley,DET,2283.0,0.8,2024-25
Kentavious Caldwell-Pope,ORL,2279.0,-1.4,2024-25
Nikola Vučević,CHI,2278.0,2.6,2024-25
Payton Pritchard,BOS,2271.0,3.5,2024-25
Kevin Durant,PHO,2265.0,3.2,2024-25
Shaedon Sharpe,POR,2252.0,-1.3,2024-25
Stephen Curry,GSW,2252.0,6.3,2024-25
