PLAYER,TEAM_BBREF,MP,BPM,SEASON
LeBron James,CLE,3026.0,8.7,2017-18
Khris Middleton,MIL,2982.0,0.0,2017-18
Andrew Wiggins,MIN,2979.0,-2.4,2017-18
Bradley Beal,WAS,2977.0,2.2,2017-18
Jrue Holiday,NOP,2927.0,1.6,2017-18
CJ McCollum,POR,2923.0,1.2,2017-18
Karl-Anthony Towns,MIN,2918.0,5.1,2017-18
Russell Westbrook,OKC,2914.0,6.3,2017-18
Paul George,OKC,2891.0,2.9,2017-18
Giannis Antetokounmpo,MIL,2756.0,6.2,2017-18
Kemba Walker,CHO,2736.0,4.0,2017-18
Ben Simmons,PHI,2732.0,4.5,2017-18
Anthony Davis,NOP,2727.0,6.7,2017-18
Taj Gibson,MIN,2726.0,-0.5,2017-18
DeMar DeRozan,TOR,2711.0,2.8,2017-18
Josh Richardson,MIA,2689.0,0.7,2017-18
Will Barton,DEN,2683.0,1.1,2017-18
Damian Lillard,POR,2670.0,7.2,2017-18
Tobias Harris,2TM,2668.0,1.9,2017-18
Tobias Harris,DET,1563.0,1.7,2017-18
Tobias Harris,LAC,1105.0,2.1,2017-18
Donovan Mitchell,UTA,2638.0,1.2,2017-18
Harrison Barnes,DAL,2634.0,-0.5,2017-18
Andre Drummond,DET,2625.0,3.2,2017-18
Thaddeus Young,IND,2607.0,0.2,2017-18
Lou Williams,LAC,2589.0,2.3,2017-18
E'Twaun Moore,NOP,2586.0,-1.6,2017-18
Joe Ingles,UTA,2578.0,2.3,2017-18
Jamal Murray,DEN,2565.0,-0.3,2017-18
Victor Oladipo,IND,2552.0,5.8,2017-18
James Harden,HOU,2551.0,9.9,2017-18
Robert Covington,PHI,2532.0,1.5,2017-18
Kyle Lowry,TOR,2510.0,5.2,2017-18
LaMarcus Aldridge,SAS,2509.0,3.9,2017-18
Klay Thompson,GSW,2506.0,-0.4,2017-18
Carmelo Anthony,OKC,2501.0,-1.9,2017-18
Steven Adams,OKC,2487.0,1.1,2017-18
Taurean Prince,ATL,2464.0,-1.1,2017-18
Bojan Bogdanović,IND,2464.0,-0.7,2017-18
Dwight Howard,CHO,2463.0,-0.1,2017-18
Kentavious Caldwell-Pope,LAL,2458.0,0.3,2017-18
Jayson Tatum,BOS,2443.0,1.2,2017-18
Nikola Jokić,DEN,2443.0,6.9,2017-18
