PLAYER,TEAM_BBREF,MP,BPM,SEASON
Luol Deng,CHI,2128.0,0.1,2007-08
Drew Gooden,2TM,2122.0,-2.8,2007-08
Drew Gooden,CLE,1564.0,-3.5,2007-08
Drew Gooden,CHI,558.0,-0.9,2007-08
Juan Carlos Navarro,MEM,2117.0,-2.3,2007-08
Troy Murphy,IND,2106.0,1.2,2007-08
Francisco García,SAC,2096.0,0.8,2007-08
Kyle Lowry,MEM,2089.0,-0.9,2007-08
Ronnie Brewer,UTA,2088.0,3.8,2007-08
Chris Kaman,LAC,2083.0,0.3,2007-08
Beno Udrih,SAC,2080.0,-1.4,2007-08
Andris Biedriņš,GSW,2078.0,1.1,2007-08
Yao Ming,HOU,2044.0,3.4,2007-08
Luis Scola,HOU,2024.0,0.0,2007-08
Devin Harris,2TM,2022.0,1.0,2007-08
Devin Harris,DAL,1184.0,1.4,2007-08
Devin Harris,NJN,838.0,0.3,2007-08
Andrés Nocioni,CHI,2021.0,-0.8,2007-08
Rashad McCants,MIN,2020.0,-0.8,2007-08
Larry Hughes,2TM,2020.0,-2.3,2007-08
Larry Hughes,CLE,1210.0,-2.3,2007-08
Larry Hughes,CHI,810.0,-2.4,2007-08
Matt Carroll,CHA,2016.0,-2.0,2007-08
Willie Green,PHI,1970.0,-1.6,2007-08
Jameer Nelson,ORL,1961.0,1.2,2007-08
Anthony Carter,DEN,1960.0,-0.1,2007-08
Dwyane Wade,MIA,1954.0,2.9,2007-08
Tim Thomas,LAC,1940.0,-1.4,2007-08
Sebastian Telfair,MIN,1933.0,-3.1,2007-08
Carlos Delfino,TOR,1928.0,0.4,2007-08
Kendrick Perkins,BOS,1912.0,0.5,2007-08
Linas Kleiza,DEN,1889.0,-0.9,2007-08
Jason Williams,MIA,1886.0,-0.9,2007-08
Jeff Foster,IND,1884.0,0.5,2007-08
Nate Robinson,NYK,1883.0,0.0,2007-08
Reggie Evans,PHI,1879.0,-3.0,2007-08
Lou Williams,PHI,1862.0,1.4,2007-08
Andrea Bargnani,TOR,1861.0,-3.7,2007-08
Damien Wilkins,SEA,1843.0,-2.3,2007-08
Quentin Richardson,NYK,1841.0,-2.8,2007-08
Charlie Villanueva,MIL,1829.0,-2.8,2007-08
James Posey,BOS,1821.0,2.5,2007-08
Joel Przybilla,POR,1819.0,-1.7,2007-08
Udonis Haslem,MIA,1805.0,-2.7,2007-08
Corey Brewer,MIN,1803.0,-4.1,2007-08
Morris Peterson,NOH,1796.0,-0.3,2007-08
Josh Boone,NJN,1773.0,-1.8,2007-08
Jason Maxiell,DET,1768.0,-0.1,2007-08
Daniel Gibson,CLE,1765.0,-0.4,2007-08
Devin Brown,CLE,1762.0,-2.1,2007-08
Fred Jones,NYK,1757.0,-1.3,2007-08
Erick Dampier,DAL,1755.0,1.1,2007-08
Hakim Warrick,MEM,1754.0,-1.9,2007-08
