PLAYER,TEAM_BBREF,MP,BPM,SEASON
Damian Lillard,POR,3167.0,0.3,2012-13
Kevin Durant,OKC,3119.0,9.3,2012-13
Monta Ellis,MIL,3076.0,0.6,2012-13
DeMar DeRozan,TOR,3013.0,-1.4,2012-13
Kobe Bryant,LAL,3013.0,4.6,2012-13
James Harden,HOU,2985.0,5.6,2012-13
Stephen Curry,GSW,2983.0,5.4,2012-13
Paul George,IND,2972.0,3.8,2012-13
Klay Thompson,GSW,2936.0,-0.3,2012-13
Jrue Holiday,PHI,2926.0,0.5,2012-13
O.J. Mayo,DAL,2913.0,-0.5,2012-13
David Lee,GSW,2907.0,1.8,2012-13
Luol Deng,CHI,2903.0,0.8,2012-13
Brandon Jennings,MIL,2897.0,1.1,2012-13
Evan Turner,PHI,2892.0,-2.3,2012-13
LeBron James,MIA,2877.0,11.7,2012-13
Russell Westbrook,OKC,2861.0,4.4,2012-13
Kemba Walker,CHA,2859.0,1.4,2012-13
Deron Williams,BRK,2842.0,3.8,2012-13
Nicolas Batum,POR,2807.0,2.8,2012-13
Marc Gasol,MEM,2796.0,5.2,2012-13
LaMarcus Aldridge,POR,2790.0,1.3,2012-13
Andre Iguodala,DEN,2779.0,2.6,2012-13
Chandler Parsons,HOU,2758.0,2.0,2012-13
Mike Conley,MEM,2757.0,4.6,2012-13
Al Horford,ATL,2756.0,1.9,2012-13
Dwight Howard,LAL,2722.0,0.6,2012-13
Greg Monroe,DET,2687.0,1.8,2012-13
Rudy Gay,2TM,2687.0,1.1,2012-13
Rudy Gay,MEM,1541.0,0.5,2012-13
Rudy Gay,TOR,1146.0,1.9,2012-13
Greivis Vásquez,NOH,2685.0,-0.4,2012-13
Josh Smith,ATL,2683.0,1.8,2012-13
J.R. Smith,NYK,2678.0,1.3,2012-13
Joe Johnson,BRK,2642.0,0.0,2012-13
Jeremy Lin,HOU,2640.0,0.3,2012-13
Tayshaun Prince,2TM,2631.0,-1.2,2012-13
Tayshaun Prince,DET,1457.0,-1.4,2012-13
Tayshaun Prince,MEM,1174.0,-0.9,2012-13
Thaddeus Young,PHI,2629.0,1.2,2012-13
Jeff Teague,ATL,2628.0,0.3,2012-13
George Hill,IND,2620.0,3.3,2012-13
Zach Randolph,MEM,2607.0,0.2,2012-13
Blake Griffin,LAC,2598.0,4.1,2012-13
Goran Dragić,PHO,2581.0,1.4,2012-13
Al Jefferson,UTA,2578.0,2.4,2012-13
Paul Pierce,BOS,2575.0,3.6,2012-13
Tristan Thompson,CLE,2564.0,-1.8,2012-13
Nikola Vučević,ORL,2559.0,-0.5,2012-13
Carlos Boozer,CHI,2546.0,-0.1,2012-13
Alonzo Gee,CLE,2541.0,-2.6,2012-13
Metta World Peace,LAL,2530.0,0.4,2012-13
Ty Lawson,DEN,2513.0,2.0,2012-13
Ryan Anderson,NOH,2503.0,2.0,2012-13
Serge Ibaka,OKC,2486.0,1.5,2012-13
Carmelo Anthony,NYK,2482.0,4.3,2012-13
Luke Ridnour,MIN,2474.0,-0.8,2012-13
Ömer Aşık,HOU,2464.0,-1.6,2012-13
Chris Bosh,MIA,2454.0,1.3,2012-13
David West,IND,2435.0,4.0,2012-13
Joakim Noah,CHI,2426.0,3.4,2012-13
Wesley Matthews,POR,2403.0,0.5,2012-13
Dwyane Wade,MIA,2391.0,4.4,2012-13
JJ Redick,2TM,2379.0,-0.4,2012-13
JJ Redick,ORL,1575.0,0.4,2012-13
JJ Redick,MIL,804.0,-2.0,2012-13
Paul Millsap,UTA,2375.0,2.7,2012-13
Darren Collison,DAL,2372.0,0.1,2012-13
Brandon Knight,DET,2365.0,-2.8,2012-13
Jarrett Jack,GSW,2349.0,0.5,2012-13
Chris Paul,LAC,2335.0,8.8,2012-13
Amir Johnson,TOR,2325.0,1.0,2012-13
J.J. Hickson,POR,2323.0,0.2,2012-13
Raymond Felton,NYK,2313.0,0.1,2012-13
Danilo Gallinari,DEN,2309.0,2.8,2012-13
Arron Afflalo,ORL,2307.0,-2.9,2012-13
Kyle Singler,DET,2293.0,-3.0,2012-13
DeMarcus Cousins,SAC,2289.0,0.2,2012-13
Jason Thompson,SAC,2285.0,-2.6,2012-13
Lance Stephenson,IND,2278.0,0.0,2012-13
John Salmons,SAC,2278.0,-2.5,2012-13
Roy Hibbert,IND,2269.0,-0.3,2012-13
Kyle Korver,ATL,2259.0,1.8,2012-13
Brook Lopez,BRK,2253.0,3.2,2012-13
Jeff Green,BOS,2252.0,-0.3,2012-13
