PLAYER,TEAM_BBREF,MP,BPM,SEASON
Gilbert Arenas,WAS,3384.0,5.4,2005-06
LeBron James,CLE,3361.0,9.1,2005-06
Joe Johnson,ATL,3340.0,1.0,2005-06
Antawn Jamison,WAS,3288.0,1.2,2005-06
Kobe Bryant,LAL,3277.0,7.6,2005-06
Shawn Marion,PHO,3263.0,4.8,2005-06
Lamar Odom,LAL,3221.0,2.7,2005-06
Ricky Davis,2TM,3207.0,-0.4,2005-06
Ricky Davis,BOS,1747.0,-0.2,2005-06
Ricky Davis,MIN,1460.0,-0.5,2005-06
Mike Bibby,SAC,3167.0,1.5,2005-06
Morris Peterson,TOR,3140.0,0.4,2005-06
Pau Gasol,MEM,3135.0,5.5,2005-06
Michael Redd,MIL,3130.0,3.8,2005-06
Allen Iverson,PHI,3103.0,4.8,2005-06
Elton Brand,LAC,3099.0,6.7,2005-06
Dirk Nowitzki,DAL,3089.0,8.1,2005-06
Andre Iguodala,PHI,3086.0,0.6,2005-06
Paul Pierce,BOS,3084.0,4.8,2005-06
Richard Jefferson,NJN,3059.0,3.1,2005-06
Ray Allen,SEA,3022.0,4.4,2005-06
Dwight Howard,ORL,3021.0,1.0,2005-06
Cuttino Mobley,LAC,2979.0,-0.2,2005-06
Jason Kidd,NJN,2975.0,5.4,2005-06
Raja Bell,PHO,2959.0,0.2,2005-06
Kevin Garnett,MIN,2957.0,7.8,2005-06
Kirk Hinrich,CHI,2955.0,1.8,2005-06
Mehmet Okur,UTA,2945.0,1.6,2005-06
Carmelo Anthony,DEN,2941.0,2.7,2005-06
Andre Miller,DEN,2937.0,0.2,2005-06
Chauncey Billups,DET,2925.0,6.2,2005-06
Mike James,TOR,2925.0,1.8,2005-06
Brad Miller,SAC,2923.0,2.5,2005-06
Stephen Jackson,IND,2910.0,-0.1,2005-06
Vince Carter,NJN,2906.0,5.1,2005-06
Tayshaun Prince,DET,2898.0,0.3,2005-06
Chris Webber,PHI,2893.0,-0.1,2005-06
Dwyane Wade,MIA,2892.0,7.7,2005-06
Ben Wallace,DET,2890.0,3.5,2005-06
Jason Richardson,GSW,2877.0,3.1,2005-06
Rashard Lewis,SEA,2876.0,2.7,2005-06
Boris Diaw,PHO,2874.0,2.8,2005-06
Shane Battier,MEM,2839.0,2.6,2005-06
Richard Hamilton,DET,2825.0,0.8,2005-06
Chris Paul,NOK,2808.0,5.2,2005-06
Jason Terry,DAL,2798.0,3.3,2005-06
Steve Nash,PHO,2796.0,5.0,2005-06
Tim Duncan,SAS,2784.0,5.0,2005-06
Al Harrington,ATL,2782.0,-1.3,2005-06
Rasheed Wallace,DET,2780.0,3.7,2005-06
Smush Parker,LAL,2773.0,0.1,2005-06
Bruce Bowen,SAS,2755.0,0.3,2005-06
Chris Bosh,TOR,2751.0,2.9,2005-06
Wally Szczerbiak,2TM,2729.0,1.6,2005-06
Wally Szczerbiak,MIN,1555.0,1.9,2005-06
Wally Szczerbiak,BOS,1174.0,1.2,2005-06
Tony Parker,SAS,2715.0,2.8,2005-06
Caron Butler,WAS,2708.0,0.6,2005-06
Sam Cassell,LAC,2653.0,1.6,2005-06
DeShawn Stevenson,ORL,2648.0,-2.5,2005-06
Luke Ridnour,SEA,2625.0,-0.2,2005-06
Hedo Türkoğlu,ORL,2615.0,2.0,2005-06
Luol Deng,CHI,2604.0,1.6,2005-06
Andrei Kirilenko,UTA,2604.0,6.6,2005-06
Peja Stojaković,2TM,2601.0,1.6,2005-06
Peja Stojaković,SAC,1147.0,-0.6,2005-06
Peja Stojaković,IND,1454.0,3.3,2005-06
Derek Fisher,GSW,2589.0,0.4,2005-06
Mike Dunleavy,GSW,2578.0,-0.7,2005-06
Kyle Korver,PHI,2563.0,-0.6,2005-06
Chris Kaman,LAC,2560.0,-0.7,2005-06
Josh Smith,ATL,2559.0,0.3,2005-06
T.J. Ford,MIL,2557.0,-1.2,2005-06
Jamal Crawford,NYK,2555.0,0.5,2005-06
Zach Randolph,POR,2545.0,-2.0,2005-06
Bobby Simmons,MIL,2538.0,0.3,2005-06
Juwan Howard,HOU,2537.0,-2.6,2005-06
David West,NOK,2526.0,1.4,2005-06
Troy Murphy,GSW,2516.0,-0.3,2005-06
Trenton Hassell,MIN,2514.0,-3.1,2005-06
Udonis Haslem,MIA,2491.0,-0.5,2005-06
Ben Gordon,CHI,2482.0,0.5,2005-06
Nenad Krstić,NJN,2469.0,-2.2,2005-06
