PLAYER,TEAM_BBREF,MP,BPM,SEASON
Monta Ellis,GSW,3227.0,0.8,2010-11
LaMarcus Aldridge,POR,3211.0,2.1,2010-11
Luol Deng,CHI,3208.0,1.7,2010-11
Dorell Wright,GSW,3147.0,0.8,2010-11
Blake Griffin,LAC,3112.0,2.6,2010-11
LeBron James,MIA,3063.0,8.1,2010-11
Kevin Durant,OKC,3038.0,4.9,2010-11
Pau Gasol,LAL,3037.0,4.8,2010-11
Derrick Rose,CHI,3026.0,6.8,2010-11
Al Jefferson,UTA,2940.0,0.6,2010-11
Dwight Howard,ORL,2935.0,5.3,2010-11
Jrue Holiday,PHI,2901.0,0.8,2010-11
Ray Allen,BOS,2890.0,2.9,2010-11
Brook Lopez,NJN,2889.0,0.6,2010-11
Chris Paul,NOH,2880.0,7.1,2010-11
Mike Conley,MEM,2872.0,1.2,2010-11
Amar'e Stoudemire,NYK,2870.0,1.4,2010-11
DeMar DeRozan,TOR,2851.0,-2.5,2010-11
Russell Westbrook,OKC,2847.0,4.2,2010-11
Dwyane Wade,MIA,2823.0,6.6,2010-11
Elton Brand,PHI,2809.0,1.3,2010-11
Chris Bosh,MIA,2795.0,1.3,2010-11
Kobe Bryant,LAL,2779.0,5.2,2010-11
Boris Diaw,CHA,2778.0,0.6,2010-11
Paul Pierce,BOS,2774.0,4.6,2010-11
Danny Granger,IND,2763.0,2.1,2010-11
Wesley Matthews,POR,2758.0,0.9,2010-11
D.J. Augustin,CHA,2757.0,0.1,2010-11
Carmelo Anthony,2TM,2751.0,1.9,2010-11
Carmelo Anthony,DEN,1774.0,1.4,2010-11
Carmelo Anthony,NYK,977.0,2.9,2010-11
Raymond Felton,2TM,2737.0,0.6,2010-11
Raymond Felton,NYK,2074.0,0.4,2010-11
Raymond Felton,DEN,663.0,1.0,2010-11
Beno Udrih,SAC,2734.0,0.5,2010-11
Zach Randolph,MEM,2724.0,2.6,2010-11
Jason Richardson,2TM,2715.0,1.7,2010-11
Jason Richardson,PHO,796.0,1.7,2010-11
Jason Richardson,ORL,1919.0,1.6,2010-11
Al Horford,ATL,2704.0,3.6,2010-11
Gerald Wallace,2TM,2693.0,1.5,2010-11
Gerald Wallace,CHA,1872.0,0.4,2010-11
Gerald Wallace,POR,821.0,3.9,2010-11
Jason Kidd,DAL,2653.0,2.8,2010-11
Andre Miller,POR,2650.0,1.6,2010-11
Josh Smith,ATL,2645.0,2.8,2010-11
Lamar Odom,LAL,2639.0,3.5,2010-11
David Lee,GSW,2634.0,-0.4,2010-11
Kevin Love,MIN,2611.0,4.4,2010-11
John Wall,WAS,2606.0,-0.8,2010-11
Paul Millsap,UTA,2605.0,1.9,2010-11
Kevin Martin,HOU,2603.0,3.4,2010-11
Trevor Ariza,NOH,2600.0,-0.4,2010-11
Marc Gasol,MEM,2586.0,2.3,2010-11
Jason Terry,DAL,2564.0,0.9,2010-11
Kyle Lowry,HOU,2563.0,2.0,2010-11
Tayshaun Prince,DET,2562.0,-0.8,2010-11
John Salmons,MIL,2554.0,-0.3,2010-11
Joe Johnson,ATL,2554.0,-0.3,2010-11
Landry Fields,NYK,2541.0,0.2,2010-11
Channing Frye,PHO,2541.0,-0.3,2010-11
Hedo Türkoğlu,2TM,2540.0,1.7,2010-11
Hedo Türkoğlu,PHO,630.0,0.8,2010-11
Hedo Türkoğlu,ORL,1910.0,2.0,2010-11
Tony Parker,SAS,2528.0,1.8,2010-11
Rajon Rondo,BOS,2527.0,3.1,2010-11
Nicolas Batum,POR,2522.0,1.1,2010-11
Dirk Nowitzki,DAL,2504.0,5.1,2010-11
Steve Nash,PHO,2497.0,3.2,2010-11
Stephen Curry,GSW,2489.0,2.3,2010-11
Andre Iguodala,PHI,2469.0,3.2,2010-11
Deron Williams,2TM,2465.0,3.0,2010-11
Deron Williams,UTA,2009.0,3.7,2010-11
Deron Williams,NJN,456.0,-0.1,2010-11
Richard Jefferson,SAS,2459.0,0.3,2010-11
David West,NOH,2451.0,2.8,2010-11
Jeff Green,2TM,2427.0,-1.1,2010-11
Jeff Green,OKC,1815.0,-1.2,2010-11
Jeff Green,BOS,612.0,-0.7,2010-11
Manu Ginóbili,SAS,2426.0,5.4,2010-11
Luis Scola,HOU,2412.0,-0.4,2010-11
Metta World Peace,LAL,2410.0,0.2,2010-11
Grant Hill,PHO,2409.0,-0.5,2010-11
Stephen Jackson,CHA,2405.0,-0.5,2010-11
Wilson Chandler,2TM,2401.0,-0.2,2010-11
Wilson Chandler,NYK,1759.0,0.0,2010-11
Wilson Chandler,DEN,642.0,-0.8,2010-11
Shane Battier,2TM,2375.0,1.4,2010-11
Shane Battier,HOU,1818.0,1.9,2010-11
Shane Battier,MEM,557.0,-0.1,2010-11
Michael Beasley,MIN,2361.0,-1.8,2010-11
Darren Collison,IND,2360.0,-0.3,2010-11
Travis Outlaw,NJN,2358.0,-3.5,2010-11
Andrea Bargnani,TOR,2353.0,-1.4,2010-11
Arron Afflalo,DEN,2324.0,1.4,2010-11
Jameer Nelson,ORL,2319.0,1.1,2010-11
Chauncey Billups,2TM,2310.0,2.6,2010-11
Chauncey Billups,DEN,1646.0,2.9,2010-11
Chauncey Billups,NYK,664.0,1.6,2010-11
DeMarcus Cousins,SAC,2309.0,-2.6,2010-11
Glen Davis,BOS,2298.0,-1.9,2010-11
Derek Fisher,LAL,2297.0,-2.0,2010-11
Jamal Crawford,ATL,2297.0,-1.0,2010-11
Andrew Bogut,MIL,2297.0,1.3,2010-11
Nenê,DEN,2291.0,3.6,2010-11
Emeka Okafor,NOH,2287.0,-0.4,2010-11
Mike Bibby,3TM,2285.0,-0.9,2010-11
Mike Bibby,ATL,1674.0,-0.6,2010-11
Mike Bibby,WAS,29.0,-9.1,2010-11
Mike Bibby,MIA,582.0,-1.5,2010-11
J.J. Hickson,CLE,2256.0,-3.8,2010-11
Devin Harris,2TM,2254.0,0.6,2010-11
Devin Harris,NJN,1724.0,1.2,2010-11
Devin Harris,UTA,530.0,-1.5,2010-11
Shawn Marion,DAL,2253.0,0.3,2010-11
Roy Hibbert,IND,2244.0,-1.1,2010-11
