PLAYER,TEAM_BBREF,MP,BPM,SEASON
Mikal Bridges,2TM,2963.0,1.7,2022-23
Mikal Bridges,PHO,2040.0,1.0,2022-23
Mikal Bridges,BRK,923.0,3.3,2022-23
Anthony Edwards,MIN,2842.0,1.0,2022-23
Zach LaVine,CHI,2768.0,1.9,2022-23
Nikola Vučević,CHI,2746.0,2.7,2022-23
Julius Randle,NYK,2737.0,3.7,2022-23
Domantas Sabonis,SAC,2736.0,5.8,2022-23
Jayson Tatum,BOS,2732.0,5.5,2022-23
Spencer Dinwiddie,2TM,2725.0,0.7,2022-23
Spencer Dinwiddie,DAL,1808.0,0.9,2022-23
Spencer Dinwiddie,BRK,917.0,0.2,2022-23
Evan Mobley,CLE,2715.0,1.7,2022-23
Dejounte Murray,ATL,2693.0,1.0,2022-23
DeMar DeRozan,CHI,2682.0,2.0,2022-23
Scottie Barnes,TOR,2678.0,0.4,2022-23
Harrison Barnes,SAC,2662.0,-1.0,2022-23
Pascal Siakam,TOR,2652.0,3.1,2022-23
CJ McCollum,NOP,2649.0,0.8,2022-23
Franz Wagner,ORL,2609.0,-0.1,2022-23
Jalen Green,HOU,2602.0,-2.1,2022-23
Bam Adebayo,MIA,2598.0,1.5,2022-23
Trae Young,ATL,2541.0,3.3,2022-23
Fred VanVleet,TOR,2535.0,2.5,2022-23
Buddy Hield,IND,2482.0,1.9,2022-23
RJ Barrett,NYK,2475.0,-3.1,2022-23
Jordan Poole,GSW,2458.0,-1.9,2022-23
Josh Hart,2TM,2454.0,0.9,2022-23
Josh Hart,POR,1704.0,-0.2,2022-23
Josh Hart,NYK,750.0,3.4,2022-23
Jabari Smith Jr.,HOU,2451.0,-3.7,2022-23
Trey Murphy III,NOP,2448.0,1.8,2022-23
Darius Garland,CLE,2447.0,2.4,2022-23
Tobias Harris,PHI,2436.0,0.7,2022-23
De'Aaron Fox,SAC,2435.0,2.5,2022-23
Donovan Mitchell,CLE,2432.0,6.3,2022-23
Paolo Banchero,ORL,2430.0,-1.5,2022-23
Jaden McDaniels,MIN,2416.0,-1.2,2022-23
Shai Gilgeous-Alexander,OKC,2416.0,7.3,2022-23
Royce O'Neale,BRK,2409.0,-1.1,2022-23
Jaylen Brown,BOS,2405.0,1.3,2022-23
Luka Dončić,DAL,2391.0,8.9,2022-23
OG Anunoby,TOR,2386.0,0.4,2022-23
Keegan Murray,SAC,2382.0,-0.6,2022-23
Kentavious Caldwell-Pope,DEN,2381.0,-1.0,2022-23
P.J. Washington,CHO,2380.0,-1.3,2022-23
Jalen Brunson,NYK,2379.0,3.9,2022-23
Brook Lopez,MIL,2373.0,2.1,2022-23
Josh Giddey,OKC,2367.0,1.2,2022-23
Reggie Bullock,DAL,2364.0,-2.6,2022-23
Immanuel Quickley,NYK,2344.0,1.7,2022-23
Tyler Herro,MIA,2337.0,0.6,2022-23
Patrick Williams,CHI,2323.0,-1.3,2022-23
Nikola Jokić,DEN,2323.0,13.0,2022-23
Derrick White,BOS,2319.0,2.4,2022-23
Jaden Ivey,DET,2304.0,-3.3,2022-23
D'Angelo Russell,2TM,2304.0,1.5,2022-23
D'Angelo Russell,MIN,1778.0,1.2,2022-23
D'Angelo Russell,LAL,526.0,2.4,2022-23
Draymond Green,GSW,2297.0,0.8,2022-23
KJ Martin,HOU,2292.0,-0.7,2022-23
Joel Embiid,PHI,2284.0,9.2,2022-23
Bruce Brown,DEN,2280.0,-0.5,2022-23
Klay Thompson,GSW,2279.0,-0.3,2022-23
Jalen Williams,OKC,2276.0,0.3,2022-23
Lauri Markkanen,UTA,2273.0,3.8,2022-23
Max Strus,MIA,2272.0,-1.7,2022-23
Luguentz Dort,OKC,2272.0,-3.0,2022-23
Nic Claxton,BRK,2271.0,3.1,2022-23
Jerami Grant,POR,2246.0,-0.2,2022-23
Kyrie Irving,2TM,2241.0,4.1,2022-23
Kyrie Irving,BRK,1478.0,3.8,2022-23
Kyrie Irving,DAL,763.0,4.9,2022-23
Kyle Kuzma,WAS,2239.0,-1.7,2022-23
Caris LeVert,CLE,2237.0,-0.2,2022-23
Bennedict Mathurin,IND,2222.0,-3.7,2022-23
Terry Rozier,CHO,2221.0,-0.6,2022-23
Jarrett Allen,CLE,2220.0,2.4,2022-23
Dillon Brooks,MEM,2214.0,-3.9,2022-23
Kevin Huerter,SAC,2203.0,1.0,2022-23
Jrue Holiday,MIL,2183.0,3.1,2022-23
Alperen Şengün,HOU,2171.0,1.4,2022-23
Anfernee Simons,POR,2171.0,-1.1,2022-23
Ivica Zubac,LAC,2170.0,-0.9,2022-23
Killian Hayes,DET,2154.0,-3.8,2022-23
Tim Hardaway Jr.,DAL,2152.0,-1.8,2022-23
De'Anthony Melton,PHI,2150.0,0.9,2022-23
Rudy Gobert,MIN,2148.0,0.7,2022-23
Jimmy Butler,MIA,2138.0,8.7,2022-23
James Harden,PHI,2135.0,5.4,2022-23
Jamal Murray,DEN,2133.0,1.3,2022-23
John Collins,ATL,2130.0,-1.3,2022-23
Saddiq Bey,2TM,2129.0,-0.3,2022-23
Saddiq Bey,DET,1500.0,-0.7,2022-23
Saddiq Bey,ATL,629.0,0.5,2022-23
De'Andre Hunter,ATL,2126.0,-3.3,2022-23
Russell Westbrook,2TM,2126.0,0.2,2022-23
Russell Westbrook,LAL,1491.0,-0.1,2022-23
Russell Westbrook,LAC,635.0,0.8,2022-23
Quentin Grimes,NYK,2121.0,-0.1,2022-23
Kristaps Porziņģis,WAS,2120.0,4.3,2022-23
Gary Trent Jr.,TOR,2118.0,0.2,2022-23
Damian Lillard,POR,2107.0,7.1,2022-23
Ayo Dosunmu,CHI,2098.0,-2.5,2022-23
Corey Kispert,WAS,2093.0,-1.5,2022-23
Malik Beasley,2TM,2093.0,-2.0,2022-23
Malik Beasley,UTA,1472.0,-1.6,2022-23
Malik Beasley,LAL,621.0,-2.9,2022-23
Caleb Martin,MIA,2077.0,-1.2,2022-23
Andrew Nembhard,IND,2073.0,-3.2,2022-23
Keldon Johnson,SAS,2063.0,-1.8,2022-23
Aaron Gordon,DEN,2055.0,2.1,2022-23
Mason Plumlee,2TM,2054.0,2.2,2022-23
Mason Plumlee,CHO,1597.0,2.4,2022-23
Mason Plumlee,LAC,457.0,1.4,2022-23
Grant Williams,BOS,2045.0,-1.1,2022-23
Deandre Ayton,PHO,2035.0,0.9,2022-23
Mike Conley,2TM,2029.0,0.9,2022-23
Mike Conley,UTA,1276.0,0.2,2022-23
Mike Conley,MIN,753.0,2.0,2022-23
Giannis Antetokounmpo,MIL,2024.0,8.5,2022-23
Kevin Porter Jr.,HOU,2024.0,0.6,2022-23
Deni Avdija,WAS,2020.0,-2.3,2022-23
Tyrese Maxey,PHI,2016.0,0.6,2022-23
Dorian Finney-Smith,2TM,2009.0,-2.0,2022-23
Dorian Finney-Smith,DAL,1288.0,-1.1,2022-23
Dorian Finney-Smith,BRK,721.0,-3.7,2022-23
Jordan Clarkson,UTA,1988.0,-1.4,2022-23
Dennis Schröder,LAL,1986.0,-2.9,2022-23
Tre Jones,SAS,1984.0,-1.0,2022-23
Grayson Allen,MIL,1972.0,0.1,2022-23
Jonas Valančiūnas,NOP,1968.0,-0.4,2022-23
