PLAYER,TEAM_BBREF,MP,BPM,SEASON
Kevin Durant,OKC,3122.0,10.2,2013-14
Monta Ellis,DAL,3023.0,-0.3,2013-14
DeMar DeRozan,TOR,3017.0,1.7,2013-14
Carmelo Anthony,NYK,2982.0,5.0,2013-14
John Wall,WAS,2980.0,2.7,2013-14
Nicolas Batum,POR,2956.0,3.4,2013-14
Damian Lillard,POR,2937.0,3.2,2013-14
LeBron James,MIA,2902.0,8.8,2013-14
Paul George,IND,2898.0,4.9,2013-14
DeAndre Jordan,LAC,2870.0,2.5,2013-14
Klay Thompson,GSW,2868.0,0.8,2013-14
Blake Griffin,LAC,2863.0,4.5,2013-14
Kyle Lowry,TOR,2862.0,4.7,2013-14
Stephen Curry,GSW,2846.0,7.4,2013-14
Joakim Noah,CHI,2820.0,5.3,2013-14
Jeff Green,BOS,2805.0,-1.5,2013-14
Gordon Hayward,UTA,2800.0,0.8,2013-14
Kevin Love,MIN,2797.0,8.9,2013-14
Chandler Parsons,HOU,2783.0,1.7,2013-14
Wesley Matthews,POR,2780.0,1.9,2013-14
James Harden,HOU,2777.0,5.6,2013-14
Lance Stephenson,IND,2752.0,1.3,2013-14
Josh Smith,DET,2730.0,-0.8,2013-14
Brandon Jennings,DET,2728.0,0.1,2013-14
Trevor Ariza,WAS,2723.0,2.3,2013-14
Thaddeus Young,PHI,2718.0,-0.1,2013-14
Zach Randolph,MEM,2705.0,-0.1,2013-14
Greg Monroe,DET,2690.0,0.1,2013-14
Goran Dragić,PHO,2668.0,3.9,2013-14
Serge Ibaka,OKC,2666.0,1.7,2013-14
Marcin Gortat,WAS,2655.0,0.8,2013-14
Ricky Rubio,MIN,2638.0,1.2,2013-14
Dirk Nowitzki,DAL,2628.0,5.0,2013-14
Andre Drummond,DET,2619.0,1.4,2013-14
Kemba Walker,CHA,2614.0,1.7,2013-14
Corey Brewer,MIN,2609.0,-0.2,2013-14
Robin Lopez,POR,2603.0,1.2,2013-14
Tristan Thompson,CLE,2594.0,-2.1,2013-14
Jimmy Butler,CHI,2591.0,1.1,2013-14
Mike Dunleavy,CHI,2584.0,0.8,2013-14
Joe Johnson,BRK,2575.0,0.2,2013-14
Jodie Meeks,LAL,2556.0,-0.1,2013-14
Al Jefferson,CHA,2553.0,2.7,2013-14
Arron Afflalo,ORL,2552.0,-0.2,2013-14
Jeff Teague,ATL,2542.0,-0.1,2013-14
Chris Bosh,MIA,2531.0,0.8,2013-14
Rudy Gay,2TM,2531.0,1.7,2013-14
Rudy Gay,TOR,639.0,0.6,2013-14
Rudy Gay,SAC,1892.0,2.1,2013-14
Bradley Beal,WAS,2530.0,-0.4,2013-14
LaMarcus Aldridge,POR,2498.0,2.3,2013-14
Isaiah Thomas,SAC,2497.0,3.2,2013-14
Kyrie Irving,CLE,2496.0,3.4,2013-14
P.J. Tucker,PHO,2490.0,1.0,2013-14
Victor Oladipo,ORL,2487.0,-1.4,2013-14
Randy Foye,DEN,2485.0,0.5,2013-14
Paul Millsap,ATL,2482.0,2.8,2013-14
David West,IND,2472.0,2.6,2013-14
Spencer Hawes,2TM,2470.0,0.6,2013-14
Spencer Hawes,PHI,1666.0,0.2,2013-14
Spencer Hawes,CLE,804.0,1.3,2013-14
José Calderón,DAL,2468.0,1.9,2013-14
Gerald Henderson,CHA,2461.0,-1.5,2013-14
Khris Middleton,MIL,2460.0,-2.3,2013-14
Evan Turner,2TM,2457.0,-3.3,2013-14
Evan Turner,PHI,1886.0,-3.5,2013-14
Evan Turner,IND,571.0,-2.6,2013-14
Mike Conley,MEM,2446.0,3.8,2013-14
George Hill,IND,2434.0,1.6,2013-14
J.R. Smith,NYK,2421.0,-0.2,2013-14
Michael Carter-Williams,PHI,2414.0,-0.5,2013-14
Roy Hibbert,IND,2409.0,-1.4,2013-14
Shawn Marion,DAL,2409.0,0.2,2013-14
Kyle Korver,ATL,2408.0,1.1,2013-14
Brandon Knight,MIL,2400.0,-0.5,2013-14
Dwight Howard,HOU,2396.0,1.8,2013-14
Josh McRoberts,CHA,2360.0,2.0,2013-14
Anthony Davis,NOP,2358.0,4.8,2013-14
Taj Gibson,CHI,2351.0,-1.0,2013-14
DeMarre Carroll,ATL,2341.0,0.7,2013-14
Kyle Singler,DET,2337.0,-1.4,2013-14
Gerald Green,PHO,2330.0,1.4,2013-14
Channing Frye,PHO,2312.0,0.7,2013-14
James Anderson,PHI,2309.0,-2.6,2013-14
DeMarcus Cousins,SAC,2298.0,5.2,2013-14
David Lee,GSW,2288.0,1.3,2013-14
Jonas Valančiūnas,TOR,2282.0,-1.3,2013-14
Reggie Jackson,OKC,2277.0,0.1,2013-14
Brandon Bass,BOS,2266.0,-1.1,2013-14
Trey Burke,UTA,2262.0,-2.6,2013-14
Jarrett Jack,CLE,2252.0,-2.1,2013-14
Wesley Johnson,LAL,2240.0,-1.1,2013-14
Ty Lawson,DEN,2222.0,2.3,2013-14
Amir Johnson,TOR,2214.0,0.7,2013-14
Ramon Sessions,2TM,2214.0,-0.8,2013-14
Ramon Sessions,CHA,1305.0,-1.3,2013-14
Ramon Sessions,MIL,909.0,-0.1,2013-14
Richard Jefferson,UTA,2213.0,-1.4,2013-14
Luol Deng,2TM,2213.0,0.4,2013-14
Luol Deng,CHI,860.0,2.5,2013-14
Luol Deng,CLE,1353.0,-0.9,2013-14
Harrison Barnes,GSW,2204.0,-1.6,2013-14
Derrick Favors,UTA,2201.0,0.1,2013-14
Alec Burks,UTA,2193.0,-0.8,2013-14
Ben McLemore,SAC,2187.0,-4.0,2013-14
Jameer Nelson,ORL,2179.0,-1.1,2013-14
Kenneth Faried,DEN,2178.0,1.0,2013-14
Mario Chalmers,MIA,2178.0,0.2,2013-14
Kevin Martin,MIN,2177.0,0.3,2013-14
Chris Paul,LAC,2171.0,8.6,2013-14
Terrence Ross,TOR,2159.0,-0.2,2013-14
Tim Duncan,SAS,2158.0,3.3,2013-14
Martell Webster,WAS,2157.0,-0.4,2013-14
Markieff Morris,PHO,2153.0,1.0,2013-14
Carlos Boozer,CHI,2141.0,-2.1,2013-14
Enes Freedom,UTA,2138.0,-3.6,2013-14
