PLAYER,TEAM_BBREF,MP,BPM,SEASON
LeBron James,CLE,3190.0,8.1,2006-07
Kobe Bryant,LAL,3140.0,5.9,2006-07
Vince Carter,NJN,3126.0,3.9,2006-07
Elton Brand,LAC,3077.0,4.2,2006-07
Luol Deng,CHI,3071.0,3.0,2006-07
Andre Iguodala,PHI,3062.0,2.4,2006-07
Rafer Alston,HOU,3040.0,0.6,2006-07
Dwight Howard,ORL,3023.0,2.8,2006-07
Ricky Davis,MIN,3021.0,0.5,2006-07
Shawn Marion,PHO,3010.0,4.4,2006-07
Tayshaun Prince,DET,3001.0,1.8,2006-07
Kevin Garnett,MIN,2995.0,5.4,2006-07
Shane Battier,HOU,2988.0,2.3,2006-07
Andre Miller,2TM,2966.0,0.2,2006-07
Andre Miller,DEN,822.0,0.7,2006-07
Andre Miller,PHI,2144.0,0.1,2006-07
Deron Williams,UTA,2950.0,1.3,2006-07
Gilbert Arenas,WAS,2942.0,4.7,2006-07
Jason Kidd,NJN,2933.0,4.7,2006-07
Raja Bell,PHO,2917.0,-0.1,2006-07
Eddy Curry,NYK,2849.0,-1.8,2006-07
Charlie Bell,MIL,2848.0,-1.3,2006-07
Jason Terry,DAL,2846.0,4.0,2006-07
Cuttino Mobley,LAC,2841.0,-1.0,2006-07
Kirk Hinrich,CHI,2839.0,2.8,2006-07
Raymond Felton,CHA,2832.0,-0.8,2006-07
Dirk Nowitzki,DAL,2820.0,8.3,2006-07
Kevin Martin,SAC,2818.0,2.8,2006-07
Danny Granger,IND,2785.0,0.2,2006-07
Mike Bibby,SAC,2784.0,0.4,2006-07
Richard Hamilton,DET,2763.0,1.2,2006-07
Allen Iverson,2TM,2761.0,1.8,2006-07
Allen Iverson,PHI,640.0,3.9,2006-07
Allen Iverson,DEN,2121.0,1.1,2006-07
Stephon Marbury,NYK,2748.0,0.2,2006-07
Mike Miller,MEM,2740.0,1.4,2006-07
Tim Duncan,SAS,2726.0,7.0,2006-07
Ben Gordon,CHI,2704.0,2.4,2006-07
