PLAYER,TEAM_BBREF,MP,BPM,SEASON
DeMar DeRozan,CHI,2989.0,1.8,2023-24
Domantas Sabonis,SAC,2928.0,6.5,2023-24
Coby White,CHI,2881.0,-0.7,2023-24
Mikal Bridges,BRK,2854.0,-0.4,2023-24
Paolo Banchero,ORL,2799.0,1.3,2023-24
Kevin Durant,PHO,2791.0,4.0,2023-24
Dejounte Murray,ATL,2783.0,1.7,2023-24
Anthony Edwards,MIN,2770.0,3.3,2023-24
Nikola Jokić,DEN,2737.0,13.2,2023-24
Jalen Brunson,NYK,2726.0,5.8,2023-24
Josh Hart,NYK,2707.0,0.0,2023-24
Anthony Davis,LAL,2700.0,5.1,2023-24
Fred VanVleet,HOU,2684.0,3.4,2023-24
De'Aaron Fox,SAC,2659.0,2.7,2023-24
Pascal Siakam,2TM,2657.0,1.9,2023-24
Pascal Siakam,TOR,1354.0,1.4,2023-24
Pascal Siakam,IND,1303.0,2.5,2023-24
Jayson Tatum,BOS,2645.0,5.1,2023-24
Austin Reaves,LAL,2629.0,0.4,2023-24
Tyrese Maxey,PHI,2626.0,3.1,2023-24
Luka Dončić,DAL,2624.0,9.9,2023-24
Nikola Vučević,CHI,2610.0,0.1,2023-24
Jalen Green,HOU,2601.0,-0.5,2023-24
Rudy Gobert,MIN,2593.0,1.8,2023-24
Keegan Murray,SAC,2588.0,-0.9,2023-24
Miles Bridges,CHO,2581.0,-1.1,2023-24
Damian Lillard,MIL,2579.0,2.1,2023-24
Giannis Antetokounmpo,MIL,2567.0,9.0,2023-24
Michael Porter Jr.,DEN,2565.0,0.1,2023-24
Shai Gilgeous-Alexander,OKC,2553.0,9.0,2023-24
Grayson Allen,PHO,2513.0,1.3,2023-24
LeBron James,LAL,2504.0,6.5,2023-24
Paul George,LAC,2502.0,3.2,2023-24
Dennis Schröder,2TM,2486.0,-1.8,2023-24
Dennis Schröder,TOR,1559.0,-1.8,2023-24
Dennis Schröder,BRK,927.0,-1.9,2023-24
D'Angelo Russell,LAL,2484.0,0.9,2023-24
James Harden,LAC,2470.0,4.1,2023-24
Devin Booker,PHO,2447.0,3.0,2023-24
Jarrett Allen,CLE,2442.0,3.0,2023-24
Jabari Smith Jr.,HOU,2424.0,-0.4,2023-24
Stephen Curry,GSW,2421.0,5.2,2023-24
Bam Adebayo,MIA,2416.0,2.4,2023-24
Chet Holmgren,OKC,2413.0,3.4,2023-24
Brook Lopez,MIL,2411.0,1.0,2023-24
Kentavious Caldwell-Pope,DEN,2402.0,-1.4,2023-24
Bogdan Bogdanović,ATL,2401.0,0.2,2023-24
Brandon Miller,CHO,2383.0,-2.6,2023-24
Harrison Barnes,SAC,2381.0,-1.8,2023-24
Derrick White,BOS,2381.0,3.8,2023-24
Tobias Harris,PHI,2368.0,0.9,2023-24
Donte DiVincenzo,NYK,2360.0,3.4,2023-24
Jordan Poole,WAS,2346.0,-3.9,2023-24
Jaylen Brown,BOS,2343.0,0.7,2023-24
Malik Beasley,MIL,2337.0,-1.8,2023-24
Franz Wagner,ORL,2337.0,1.2,2023-24
Kawhi Leonard,LAC,2330.0,5.5,2023-24
Herbert Jones,NOP,2321.0,0.6,2023-24
Aaron Gordon,DEN,2297.0,1.3,2023-24
Klay Thompson,GSW,2284.0,-0.4,2023-24
Kyle Kuzma,WAS,2281.0,-1.1,2023-24
Jrue Holiday,BOS,2263.0,2.1,2023-24
Deni Avdija,WAS,2257.0,-0.9,2023-24
Devin Vassell,SAS,2248.0,0.0,2023-24
Luguentz Dort,OKC,2246.0,-1.6,2023-24
