PLAYER,TEAM_BBREF,MP,BPM,SEASON
James Harden,HOU,2981.0,8.8,2014-15
Andrew Wiggins,MIN,2969.0,-2.4,2014-15
Trevor Ariza,HOU,2930.0,1.0,2014-15
Damian Lillard,POR,2925.0,4.7,2014-15
Chris Paul,LAC,2857.0,8.0,2014-15
John Wall,WAS,2837.0,3.6,2014-15
DeAndre Jordan,LAC,2820.0,2.9,2014-15
Eric Bledsoe,PHO,2800.0,2.1,2014-15
Joe Johnson,BRK,2791.0,-0.1,2014-15
Kyrie Irving,CLE,2730.0,4.1,2014-15
Monta Ellis,DAL,2699.0,-0.1,2014-15
Tyreke Evans,NOP,2690.0,1.2,2014-15
Marc Gasol,MEM,2687.0,5.1,2014-15
Pau Gasol,CHI,2681.0,3.5,2014-15
Ben McLemore,SAC,2670.0,-2.2,2014-15
Ty Lawson,DEN,2665.0,2.2,2014-15
Goran Dragić,2TM,2640.0,0.8,2014-15
Goran Dragić,PHO,1735.0,0.1,2014-15
Goran Dragić,MIA,905.0,2.1,2014-15
Gordon Hayward,UTA,2618.0,4.0,2014-15
Stephen Curry,GSW,2613.0,9.9,2014-15
Kentavious Caldwell-Pope,DET,2587.0,-1.7,2014-15
Markieff Morris,PHO,2581.0,-0.3,2014-15
Victor Oladipo,ORL,2573.0,-0.4,2014-15
Giannis Antetokounmpo,MIL,2541.0,0.0,2014-15
Kevin Love,CLE,2532.0,2.7,2014-15
Nikola Vučević,ORL,2529.0,0.9,2014-15
Jimmy Butler,CHI,2513.0,4.6,2014-15
LaMarcus Aldridge,POR,2512.0,2.9,2014-15
Andre Drummond,DET,2502.0,-0.1,2014-15
Arron Afflalo,2TM,2502.0,-2.5,2014-15
Arron Afflalo,DEN,1750.0,-1.9,2014-15
Arron Afflalo,POR,752.0,-3.8,2014-15
LeBron James,CLE,2493.0,7.1,2014-15
Draymond Green,GSW,2490.0,3.5,2014-15
Elfrid Payton,ORL,2489.0,-1.2,2014-15
Wilson Chandler,DEN,2471.0,-0.6,2014-15
Klay Thompson,GSW,2455.0,4.4,2014-15
Anthony Davis,NOP,2455.0,8.9,2014-15
Jeff Green,2TM,2454.0,-0.2,2014-15
Jeff Green,BOS,1093.0,-1.1,2014-15
Jeff Green,MEM,1361.0,0.6,2014-15
Marcin Gortat,WAS,2453.0,1.5,2014-15
Thaddeus Young,2TM,2434.0,-0.1,2014-15
Thaddeus Young,MIN,1605.0,-0.5,2014-15
Thaddeus Young,BRK,829.0,0.5,2014-15
Avery Bradley,BOS,2428.0,-2.2,2014-15
Luol Deng,MIA,2421.0,0.0,2014-15
Kyle Korver,ATL,2418.0,2.8,2014-15
Kyle Lowry,TOR,2414.0,3.0,2014-15
JJ Redick,LAC,2409.0,1.3,2014-15
Rudy Gay,SAC,2408.0,2.7,2014-15
Paul Millsap,ATL,2390.0,3.4,2014-15
P.J. Tucker,PHO,2383.0,0.4,2014-15
Solomon Hill,IND,2381.0,-1.5,2014-15
Nicolas Batum,POR,2380.0,2.1,2014-15
Khris Middleton,MIL,2378.0,1.6,2014-15
Tobias Harris,ORL,2369.0,0.5,2014-15
Mario Chalmers,MIA,2368.0,-2.5,2014-15
Blake Griffin,LAC,2356.0,4.0,2014-15
Courtney Lee,MEM,2354.0,-0.5,2014-15
Harrison Barnes,GSW,2318.0,0.1,2014-15
Al Horford,ATL,2318.0,4.1,2014-15
Gerald Henderson,CHO,2315.0,-1.4,2014-15
Danny Green,SAS,2312.0,4.6,2014-15
Nerlens Noel,PHI,2311.0,-0.3,2014-15
Zach Randolph,MEM,2304.0,1.3,2014-15
Russell Westbrook,OKC,2302.0,8.1,2014-15
Josh Smith,2TM,2300.0,0.7,2014-15
Josh Smith,DET,896.0,1.5,2014-15
Josh Smith,HOU,1404.0,0.2,2014-15
Trey Burke,UTA,2288.0,-1.4,2014-15
Tyson Chandler,DAL,2286.0,2.6,2014-15
Dirk Nowitzki,DAL,2282.0,2.2,2014-15
Derrick Favors,UTA,2280.0,2.5,2014-15
Matt Barnes,LAC,2271.0,-0.3,2014-15
Reggie Jackson,2TM,2268.0,1.1,2014-15
Reggie Jackson,OKC,1398.0,0.7,2014-15
Reggie Jackson,DET,870.0,1.9,2014-15
Evan Turner,BOS,2260.0,-1.0,2014-15
Wesley Johnson,LAL,2245.0,-1.9,2014-15
Jarrett Jack,BRK,2241.0,-1.1,2014-15
Jeff Teague,ATL,2228.0,2.9,2014-15
Tim Duncan,SAS,2227.0,5.1,2014-15
Mike Conley,MEM,2225.0,2.8,2014-15
Dion Waiters,2TM,2208.0,-3.3,2014-15
Dion Waiters,CLE,786.0,-2.6,2014-15
Dion Waiters,OKC,1422.0,-3.7,2014-15
Tristan Thompson,CLE,2194.0,-1.2,2014-15
Gorgui Dieng,MIN,2193.0,0.2,2014-15
DeMarre Carroll,ATL,2189.0,1.7,2014-15
Chandler Parsons,DAL,2186.0,1.6,2014-15
Rudy Gobert,UTA,2158.0,4.2,2014-15
Patrick Patterson,TOR,2156.0,2.5,2014-15
Michael Carter-Williams,2TM,2149.0,-1.1,2014-15
Michael Carter-Williams,PHI,1391.0,-2.0,2014-15
Michael Carter-Williams,MIL,758.0,0.6,2014-15
Greg Monroe,DET,2137.0,2.0,2014-15
Enes Freedom,2TM,2135.0,-0.9,2014-15
Enes Freedom,UTA,1326.0,-2.7,2014-15
Enes Freedom,OKC,809.0,2.0,2014-15
