SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
42014,1610612744,GSW,Golden State Warriors,0041400406,2015-06-16,GSW @ CLE,W,239,105,37,85,0.435,13,34,0.382,18,29,0.621,7,32,39,28,11,4,9,27,8.0,2014-15
42014,1610612739,CLE,Cleveland Cavaliers,0041400406,2015-06-16,CLE vs. GSW,L,239,97,32,82,0.39,6,26,0.231,27,39,0.692,16,40,56,14,3,7,16,26,-8.0,2014-15
42014,1610612739,CLE,Cleveland Cavaliers,0041400405,2015-06-14,CLE @ GSW,L,241,91,32,81,0.395,12,35,0.343,15,21,0.714,10,27,37,17,10,4,10,28,-13.0,2014-15
42014,1610612744,GSW,Golden State Warriors,0041400405,2015-06-14,GSW vs. CLE,W,239,104,36,75,0.48,12,26,0.462,20,34,0.588,11,32,43,25,7,2,16,25,13.0,2014-15
42014,1610612744,GSW,Golden State Warriors,0041400404,2015-06-11,GSW @ CLE,W,239,103,36,77,0.468,12,30,0.4,19,27,0.704,6,38,44,24,5,5,7,21,21.0,2014-15
42014,1610612739,CLE,Cleveland Cavaliers,0041400404,2015-06-11,CLE vs. GSW,L,239,82,29,88,0.33,4,27,0.148,20,28,0.714,16,33,49,16,2,3,9,19,-21.0,2014-15
42014,1610612739,CLE,Cleveland Cavaliers,0041400403,2015-06-09,CLE vs. GSW,W,240,96,35,76,0.461,9,21,0.429,17,24,0.708,6,37,43,15,9,8,14,16,5.0,2014-15
42014,1610612744,GSW,Golden State Warriors,0041400403,2015-06-09,GSW @ CLE,L,240,91,36,90,0.4,12,34,0.353,7,12,0.583,18,28,46,21,6,7,14,25,-5.0,2014-15
42014,1610612739,CLE,Cleveland Cavaliers,0041400402,2015-06-07,CLE @ GSW,W,262,95,29,90,0.322,9,27,0.333,28,40,0.7,14,41,55,14,11,3,13,24,2.0,2014-15
42014,1610612744,GSW,Golden State Warriors,0041400402,2015-06-07,GSW vs. CLE,L,264,93,33,83,0.398,8,35,0.229,19,25,0.76,10,35,45,16,11,7,18,31,-2.0,2014-15
42014,1610612739,CLE,Cleveland Cavaliers,0041400401,2015-06-04,CLE @ GSW,L,264,100,39,94,0.415,9,31,0.29,13,19,0.684,13,32,45,19,10,5,11,20,-8.0,2014-15
42014,1610612744,GSW,Golden State Warriors,0041400401,2015-06-04,GSW vs. CLE,W,266,108,39,88,0.443,10,27,0.37,20,22,0.909,11,37,48,24,8,5,12,16,8.0,2014-15
42014,1610612744,GSW,Golden State Warriors,0041400315,2015-05-27,GSW vs. HOU,W,239,104,37,91,0.407,9,29,0.31,21,31,0.677,19,40,59,25,10,4,16,30,14.0,2014-15
42014,1610612745,HOU,Houston Rockets,0041400315,2015-05-27,HOU @ GSW,L,240,90,26,74,0.351,5,24,0.208,33,44,0.75,10,29,39,16,12,6,20,26,-14.0,2014-15
42014,1610612737,ATL,Atlanta Hawks,0041400304,2015-05-26,ATL @ CLE,L,241,88,36,85,0.424,5,32,0.156,11,18,0.611,7,32,39,22,4,3,7,20,-30.0,2014-15
42014,1610612739,CLE,Cleveland Cavaliers,0041400304,2015-05-26,CLE vs. ATL,W,240,118,43,87,0.494,13,31,0.419,19,30,0.633,13,43,56,23,5,7,10,18,30.0,2014-15
