SERIES_KEY,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_ABBREV,AWAY_ABBREV,HOME_WINS,TOTAL_GAMES,AWAY_WINS,SERIES_WINNER,SEASON
1610612753_1610612766,1610612766,1610612753,CHA,ORL,2,4,2,ORL,2009-10
1610612756_1610612757,1610612757,1610612756,POR,PHX,3,6,3,PHX,2009-10
1610612756_1610612759,1610612759,1610612756,SAS,PHX,2,4,2,PHX,2009-10
1610612737_1610612741,1610612737,1610612741,ATL,CHI,3,6,3,CHI,2010-11
1610612737_1610612753,1610612737,1610612753,ATL,ORL,5,6,1,ATL,2010-11
1610612738_1610612748,1610612748,1610612738,MIA,BOS,4,5,1,MIA,2010-11
1610612738_1610612752,1610612752,1610612738,NYK,BOS,2,4,2,BOS,2010-11
1610612740_1610612747,1610612740,1610612747,NOH,LAL,3,6,3,LAL,2010-11
1610612741_1610612748,1610612741,1610612748,CHI,MIA,3,5,2,CHI,2010-11
1610612741_1610612754,1610612741,1610612754,CHI,IND,4,5,1,CHI,2010-11
1610612742_1610612747,1610612742,1610612747,DAL,LAL,2,4,2,LAL,2010-11
1610612742_1610612748,1610612748,1610612742,MIA,DAL,3,6,3,DAL,2010-11
1610612742_1610612757,1610612757,1610612742,POR,DAL,5,6,1,POR,2010-11
1610612742_1610612760,1610612742,1610612760,DAL,OKC,2,5,3,OKC,2010-11
1610612743_1610612760,1610612760,1610612743,OKC,DEN,4,5,1,OKC,2010-11
1610612748_1610612755,1610612748,1610612755,MIA,PHI,4,5,1,MIA,2010-11
1610612759_1610612763,1610612763,1610612759,MEM,SAS,5,6,1,MEM,2010-11
1610612760_1610612763,1610612760,1610612763,OKC,MEM,5,7,2,OKC,2010-11
1610612737_1610612754,1610612737,1610612754,ATL,IND,5,6,1,ATL,2012-13
1610612738_1610612752,1610612738,1610612752,BOS,NYK,3,6,3,NYK,2012-13
1610612741_1610612748,1610612748,1610612741,MIA,CHI,2,5,3,CHI,2012-13
1610612741_1610612751,1610612751,1610612741,BKN,CHI,4,7,3,BKN,2012-13
1610612743_1610612744,1610612744,1610612743,GSW,DEN,5,6,1,GSW,2012-13
1610612744_1610612759,1610612744,1610612759,GSW,SAS,3,6,3,SAS,2012-13
1610612745_1610612760,1610612745,1610612760,HOU,OKC,3,6,3,OKC,2012-13
1610612746_1610612763,1610612763,1610612746,MEM,LAC,5,6,1,MEM,2012-13
1610612747_1610612759,1610612747,1610612759,LAL,SAS,2,4,2,SAS,2012-13
1610612748_1610612749,1610612749,1610612748,MIL,MIA,2,4,2,MIA,2012-13
1610612748_1610612754,1610612748,1610612754,MIA,IND,5,7,2,MIA,2012-13
1610612748_1610612759,1610612748,1610612759,MIA,SAS,5,7,2,MIA,2012-13
1610612752_1610612754,1610612754,1610612752,IND,NYK,5,6,1,IND,2012-13
1610612759_1610612763,1610612763,1610612759,MEM,SAS,2,4,2,SAS,2012-13
1610612760_1610612763,1610612760,1610612763,OKC,MEM,3,5,2,OKC,2012-13
1610612737_1610612754,1610612754,1610612737,IND,ATL,3,7,4,ATL,2013-14
1610612741_1610612764,1610612741,1610612764,CHI,WAS,1,5,4,WAS,2013-14
1610612742_1610612759,1610612759,1610612742,SAS,DAL,5,7,2,SAS,2013-14
1610612744_1610612746,1610612746,1610612744,LAC,GSW,5,7,2,LAC,2013-14
1610612745_1610612757,1610612757,1610612745,POR,HOU,3,6,3,HOU,2013-14
1610612746_1610612760,1610612746,1610612760,LAC,OKC,3,6,3,OKC,2013-14
1610612748_1610612751,1610612748,1610612751,MIA,BKN,4,5,1,MIA,2013-14
1610612748_1610612754,1610612748,1610612754,MIA,IND,5,6,1,MIA,2013-14
1610612748_1610612759,1610612759,1610612748,SAS,MIA,2,5,3,MIA,2013-14
1610612748_1610612766,1610612766,1610612748,CHA,MIA,2,4,2,MIA,2013-14
1610612751_1610612761,1610612761,1610612751,TOR,BKN,4,7,3,TOR,2013-14
1610612754_1610612764,1610612764,1610612754,WAS,IND,1,6,5,IND,2013-14
1610612757_1610612759,1610612759,1610612757,SAS,POR,4,5,1,SAS,2013-14
1610612759_1610612760,1610612760,1610612759,OKC,SAS,5,6,1,OKC,2013-14
1610612760_1610612763,1610612760,1610612763,OKC,MEM,3,7,4,MEM,2013-14
1610612737_1610612739,1610612739,1610612737,CLE,ATL,2,4,2,ATL,2014-15
1610612737_1610612751,1610612751,1610612737,BKN,ATL,5,6,1,BKN,2014-15
1610612737_1610612764,1610612764,1610612737,WAS,ATL,3,6,3,ATL,2014-15
1610612738_1610612739,1610612738,1610612739,BOS,CLE,2,4,2,CLE,2014-15
1610612739_1610612741,1610612741,1610612739,CHI,CLE,3,6,3,CLE,2014-15
1610612739_1610612744,1610612739,1610612744,CLE,GSW,3,6,3,GSW,2014-15
1610612740_1610612744,1610612740,1610612744,NOP,GSW,2,4,2,GSW,2014-15
1610612741_1610612749,1610612749,1610612741,MIL,CHI,3,6,3,CHI,2014-15
1610612742_1610612745,1610612745,1610612742,HOU,DAL,4,5,1,HOU,2014-15
1610612744_1610612745,1610612744,1610612745,GSW,HOU,4,5,1,GSW,2014-15
1610612744_1610612763,1610612763,1610612744,MEM,GSW,3,6,3,GSW,2014-15
1610612745_1610612746,1610612745,1610612746,HOU,LAC,5,7,2,HOU,2014-15
1610612746_1610612759,1610612746,1610612759,LAC,SAS,3,7,4,SAS,2014-15
1610612757_1610612763,1610612763,1610612757,MEM,POR,4,5,1,MEM,2014-15
1610612761_1610612764,1610612764,1610612761,WAS,TOR,2,4,2,TOR,2014-15
1610612737_1610612738,1610612738,1610612737,BOS,ATL,5,6,1,BOS,2015-16
1610612737_1610612739,1610612737,1610612739,ATL,CLE,2,4,2,CLE,2015-16
1610612739_1610612744,1610612744,1610612739,GSW,CLE,4,7,3,GSW,2015-16
1610612739_1610612761,1610612761,1610612739,TOR,CLE,5,6,1,TOR,2015-16
1610612739_1610612765,1610612765,1610612739,DET,CLE,2,4,2,CLE,2015-16
1610612742_1610612760,1610612760,1610612742,OKC,DAL,2,5,3,DAL,2015-16
1610612744_1610612745,1610612744,1610612745,GSW,HOU,4,5,1,GSW,2015-16
1610612744_1610612757,1610612744,1610612757,GSW,POR,4,5,1,GSW,2015-16
1610612744_1610612760,1610612744,1610612760,GSW,OKC,5,7,2,GSW,2015-16
1610612746_1610612757,1610612757,1610612746,POR,LAC,5,6,1,POR,2015-16
