SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
42007,1610612738,BOS,Boston Celtics,0040700406,2008-06-17,BOS vs. LAL,W,240,131,43,87,0.494,13,26,0.5,32,37,0.865,14,34,48,33,18,4,7,25,39.0,2007-08
42007,1610612747,LAL,Los Angeles Lakers,0040700406,2008-06-17,LAL @ BOS,L,240,92,27,64,0.422,10,27,0.37,28,38,0.737,2,27,29,16,4,0,19,25,-39.0,2007-08
42007,1610612747,LAL,Los Angeles Lakers,0040700405,2008-06-15,LAL vs. BOS,W,238,103,36,79,0.456,8,27,0.296,23,31,0.742,10,30,40,19,11,7,17,28,5.0,2007-08
42007,1610612738,BOS,Boston Celtics,0040700405,2008-06-15,BOS @ LAL,L,240,98,33,77,0.429,8,22,0.364,24,31,0.774,11,26,37,20,6,2,18,28,-5.0,2007-08
42007,1610612747,LAL,Los Angeles Lakers,0040700404,2008-06-12,LAL vs. BOS,L,240,91,32,77,0.416,6,21,0.286,21,29,0.724,10,31,41,23,6,3,12,23,-6.0,2007-08
42007,1610612738,BOS,Boston Celtics,0040700404,2008-06-12,BOS @ LAL,W,240,97,33,73,0.452,8,22,0.364,23,28,0.821,6,34,40,15,7,4,11,24,6.0,2007-08
42007,1610612738,BOS,Boston Celtics,0040700403,2008-06-10,BOS @ LAL,L,240,81,29,83,0.349,8,18,0.444,15,22,0.682,14,31,45,19,8,8,13,28,-6.0,2007-08
42007,1610612747,LAL,Los Angeles Lakers,0040700403,2008-06-10,LAL vs. BOS,W,240,87,30,69,0.435,6,14,0.429,21,34,0.618,9,35,44,17,4,6,12,23,6.0,2007-08
42007,1610612747,LAL,Los Angeles Lakers,0040700402,2008-06-08,LAL @ BOS,L,239,102,41,83,0.494,10,21,0.476,10,10,1.0,11,25,36,20,8,1,13,28,-6.0,2007-08
42007,1610612738,BOS,Boston Celtics,0040700402,2008-06-08,BOS vs. LAL,W,241,108,36,68,0.529,9,14,0.643,27,38,0.711,10,27,37,31,7,3,15,21,6.0,2007-08
42007,1610612747,LAL,Los Angeles Lakers,0040700401,2008-06-05,LAL @ BOS,L,240,88,32,77,0.416,3,14,0.214,21,28,0.75,7,26,33,21,8,2,8,29,-10.0,2007-08
42007,1610612738,BOS,Boston Celtics,0040700401,2008-06-05,BOS vs. LAL,W,240,98,32,76,0.421,6,19,0.316,28,35,0.8,10,36,46,20,6,3,13,22,10.0,2007-08
42007,1610612738,BOS,Boston Celtics,0040700306,2008-05-30,BOS @ DET,W,241,89,32,72,0.444,5,18,0.278,20,27,0.741,11,27,38,14,8,4,11,28,8.0,2007-08
42007,1610612765,DET,Detroit Pistons,0040700306,2008-05-30,DET vs. BOS,L,238,81,29,69,0.42,6,21,0.286,17,21,0.81,11,25,36,19,3,7,13,22,-8.0,2007-08
42007,1610612747,LAL,Los Angeles Lakers,0040700315,2008-05-29,LAL vs. SAS,W,241,100,38,85,0.447,8,21,0.381,16,18,0.889,11,31,42,16,9,6,9,19,8.0,2007-08
42007,1610612759,SAS,San Antonio Spurs,0040700315,2008-05-29,SAS @ LAL,L,241,92,36,74,0.486,7,15,0.467,13,18,0.722,6,33,39,22,5,3,12,21,-8.0,2007-08
42007,1610612765,DET,Detroit Pistons,0040700305,2008-05-28,DET @ BOS,L,240,102,31,67,0.463,11,21,0.524,29,38,0.763,5,20,25,23,8,5,15,30,-4.0,2007-08
42007,1610612738,BOS,Boston Celtics,0040700305,2008-05-28,BOS vs. DET,W,240,106,37,73,0.507,8,15,0.533,24,30,0.8,11,31,42,25,8,3,17,21,4.0,2007-08
42007,1610612747,LAL,Los Angeles Lakers,0040700314,2008-05-27,LAL @ SAS,W,238,93,38,85,0.447,3,14,0.214,14,19,0.737,13,33,46,17,5,3,14,24,2.0,2007-08
42007,1610612759,SAS,San Antonio Spurs,0040700314,2008-05-27,SAS vs. LAL,L,241,91,30,75,0.4,7,24,0.292,24,26,0.923,8,29,37,22,7,4,8,21,-2.0,2007-08
42007,1610612765,DET,Detroit Pistons,0040700304,2008-05-26,DET vs. BOS,W,239,94,36,70,0.514,2,9,0.222,20,26,0.769,9,25,34,27,7,10,7,32,19.0,2007-08
42007,1610612738,BOS,Boston Celtics,0040700304,2008-05-26,BOS @ DET,L,241,75,21,66,0.318,1,9,0.111,32,39,0.821,11,27,38,12,3,3,14,24,-19.0,2007-08
42007,1610612747,LAL,Los Angeles Lakers,0040700313,2008-05-25,LAL @ SAS,L,240,84,35,82,0.427,6,17,0.353,8,17,0.471,8,34,42,13,5,0,13,22,-19.0,2007-08
42007,1610612759,SAS,San Antonio Spurs,0040700313,2008-05-25,SAS vs. LAL,W,239,103,38,74,0.514,10,18,0.556,17,23,0.739,3,36,39,22,4,4,12,19,19.0,2007-08
42007,1610612765,DET,Detroit Pistons,0040700303,2008-05-24,DET vs. BOS,L,240,80,28,73,0.384,1,13,0.077,23,26,0.885,10,18,28,15,11,9,10,25,-14.0,2007-08
42007,1610612738,BOS,Boston Celtics,0040700303,2008-05-24,BOS @ DET,W,240,94,32,69,0.464,5,14,0.357,25,30,0.833,14,30,44,20,6,3,15,24,14.0,2007-08
42007,1610612747,LAL,Los Angeles Lakers,0040700312,2008-05-23,LAL vs. SAS,W,240,101,39,71,0.549,5,18,0.278,18,20,0.9,3,41,44,20,8,7,14,15,30.0,2007-08
42007,1610612759,SAS,San Antonio Spurs,0040700312,2008-05-23,SAS @ LAL,L,240,71,30,87,0.345,6,23,0.261,5,10,0.5,9,27,36,20,7,1,14,18,-30.0,2007-08
42007,1610612738,BOS,Boston Celtics,0040700302,2008-05-22,BOS vs. DET,L,242,97,35,72,0.486,5,19,0.263,22,25,0.88,13,26,39,19,5,6,12,22,-6.0,2007-08
42007,1610612765,DET,Detroit Pistons,0040700302,2008-05-22,DET @ BOS,W,239,103,35,71,0.493,5,10,0.5,28,32,0.875,9,22,31,21,9,4,9,19,6.0,2007-08
42007,1610612759,SAS,San Antonio Spurs,0040700311,2008-05-21,SAS @ LAL,L,239,85,34,84,0.405,5,20,0.25,12,17,0.706,9,33,42,16,7,5,12,21,-4.0,2007-08
42007,1610612747,LAL,Los Angeles Lakers,0040700311,2008-05-21,LAL vs. SAS,W,241,89,35,81,0.432,4,10,0.4,15,18,0.833,6,35,41,18,7,6,10,16,4.0,2007-08
