SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
42012,1610612754,IND,Indiana Pacers,0041200123,2013-04-27,IND @ ATL,L,240,69,22,81,0.272,4,25,0.16,21,28,0.75,17,35,52,10,6,5,22,27,-21.0,2012-13
42012,1610612751,BKN,Brooklyn Nets,0041200134,2013-04-27,BKN @ CHI,L,315,134,48,97,0.495,9,24,0.375,29,45,0.644,12,35,47,23,7,10,19,27,-8.0,2012-13
42012,1610612745,HOU,Houston Rockets,0041200143,2013-04-27,HOU vs. OKC,L,240,101,36,83,0.434,12,37,0.324,17,25,0.68,5,36,41,23,6,12,11,25,-3.0,2012-13
42012,1610612737,ATL,Atlanta Hawks,0041200123,2013-04-27,ATL vs. IND,W,239,90,35,82,0.427,4,15,0.267,16,28,0.571,13,35,48,17,11,6,14,27,21.0,2012-13
42012,1610612760,OKC,Oklahoma City Thunder,0041200143,2013-04-27,OKC @ HOU,W,239,104,33,87,0.379,10,26,0.385,28,30,0.933,13,36,49,14,7,6,11,24,3.0,2012-13
42012,1610612741,CHI,Chicago Bulls,0041200134,2013-04-27,CHI vs. BKN,W,316,142,58,109,0.532,6,19,0.316,20,29,0.69,9,37,46,34,8,7,14,35,8.0,2012-13
42012,1610612763,MEM,Memphis Grizzlies,0041200174,2013-04-27,MEM vs. LAC,W,241,104,39,77,0.506,4,12,0.333,22,29,0.759,13,32,45,25,3,6,13,20,21.0,2012-13
42012,1610612746,LAC,Los Angeles Clippers,0041200174,2013-04-27,LAC @ MEM,L,239,83,32,78,0.41,4,21,0.19,15,17,0.882,5,23,28,17,8,5,8,27,-21.0,2012-13
42012,1610612743,DEN,Denver Nuggets,0041200163,2013-04-26,DEN @ GSW,L,240,108,40,86,0.465,7,18,0.389,21,27,0.778,11,23,34,26,11,1,18,25,-2.0,2012-13
42012,1610612752,NYK,New York Knicks,0041200113,2013-04-26,NYK @ BOS,W,241,90,38,76,0.5,11,27,0.407,3,8,0.375,6,31,37,22,14,4,11,19,14.0,2012-13
42012,1610612744,GSW,Golden State Warriors,0041200163,2013-04-26,GSW vs. DEN,W,242,110,42,80,0.525,8,20,0.4,18,23,0.783,12,30,42,26,7,7,21,20,2.0,2012-13
42012,1610612747,LAL,Los Angeles Lakers,0041200153,2013-04-26,LAL vs. SAS,L,240,89,35,81,0.432,4,20,0.2,15,25,0.6,9,26,35,19,8,3,13,15,-31.0,2012-13
42012,1610612738,BOS,Boston Celtics,0041200113,2013-04-26,BOS vs. NYK,L,240,76,28,70,0.4,6,19,0.316,14,18,0.778,11,30,41,14,6,1,17,14,-14.0,2012-13
42012,1610612759,SAS,San Antonio Spurs,0041200153,2013-04-26,SAS @ LAL,W,239,120,52,85,0.612,5,16,0.313,11,15,0.733,8,41,49,30,9,7,14,20,31.0,2012-13
42012,1610612746,LAC,Los Angeles Clippers,0041200173,2013-04-25,LAC @ MEM,L,240,82,26,67,0.388,9,23,0.391,21,23,0.913,5,28,33,14,5,10,16,29,-12.0,2012-13
42012,1610612751,BKN,Brooklyn Nets,0041200133,2013-04-25,BKN @ CHI,L,239,76,28,81,0.346,5,21,0.238,15,17,0.882,7,35,42,15,5,11,10,19,-3.0,2012-13
42012,1610612741,CHI,Chicago Bulls,0041200133,2013-04-25,CHI vs. BKN,W,239,79,31,78,0.397,3,15,0.2,14,21,0.667,9,39,48,17,6,3,13,15,3.0,2012-13
42012,1610612749,MIL,Milwaukee Bucks,0041200103,2013-04-25,MIL vs. MIA,L,240,91,33,72,0.458,7,26,0.269,18,29,0.621,9,29,38,23,14,2,20,21,-13.0,2012-13
