SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
42013,1610612748,MIA,Miami Heat,0041300405,2014-06-15,MIA @ SAS,L,240,87,30,75,0.4,7,25,0.28,20,27,0.741,5,36,41,14,5,4,10,23,-17.0,2013-14
42013,1610612759,SAS,San Antonio Spurs,0041300405,2014-06-15,SAS vs. MIA,W,239,104,37,78,0.474,12,26,0.462,18,23,0.783,6,34,40,25,5,4,8,21,17.0,2013-14
42013,1610612759,SAS,San Antonio Spurs,0041300404,2014-06-12,SAS @ MIA,W,242,107,40,70,0.571,9,21,0.429,18,25,0.72,12,32,44,25,8,4,14,19,21.0,2013-14
42013,1610612748,MIA,Miami Heat,0041300404,2014-06-12,MIA vs. SAS,L,241,86,32,71,0.451,9,22,0.409,13,20,0.65,6,21,27,13,7,1,13,25,-21.0,2013-14
42013,1610612759,SAS,San Antonio Spurs,0041300403,2014-06-10,SAS @ MIA,W,240,111,38,64,0.594,9,20,0.45,26,32,0.813,5,24,29,21,12,4,12,25,19.0,2013-14
42013,1610612748,MIA,Miami Heat,0041300403,2014-06-10,MIA vs. SAS,L,241,92,32,62,0.516,10,21,0.476,18,24,0.75,5,21,26,17,8,1,20,26,-19.0,2013-14
42013,1610612748,MIA,Miami Heat,0041300402,2014-06-08,MIA @ SAS,W,241,98,37,70,0.529,8,19,0.421,16,21,0.762,5,33,38,16,6,3,13,20,2.0,2013-14
42013,1610612759,SAS,San Antonio Spurs,0041300402,2014-06-08,SAS vs. MIA,L,240,96,36,82,0.439,12,26,0.462,12,20,0.6,11,26,37,26,7,1,11,20,-2.0,2013-14
42013,1610612759,SAS,San Antonio Spurs,0041300401,2014-06-05,SAS vs. MIA,W,240,110,40,68,0.588,13,25,0.52,17,22,0.773,5,34,39,30,8,4,22,14,15.0,2013-14
42013,1610612748,MIA,Miami Heat,0041300401,2014-06-05,MIA @ SAS,L,241,95,37,78,0.474,12,29,0.414,9,11,0.818,7,22,29,16,14,2,16,21,-15.0,2013-14
42013,1610612759,SAS,San Antonio Spurs,0041300316,2014-05-31,SAS @ OKC,W,264,112,38,94,0.404,11,35,0.314,25,34,0.735,16,33,49,20,15,5,14,24,5.0,2013-14
42013,1610612760,OKC,Oklahoma City Thunder,0041300316,2014-05-31,OKC vs. SAS,L,265,107,35,82,0.427,8,27,0.296,29,33,0.879,7,38,45,19,9,7,19,29,-5.0,2013-14
42013,1610612754,IND,Indiana Pacers,0041300306,2014-05-30,IND @ MIA,L,241,92,32,69,0.464,10,25,0.4,18,24,0.75,4,24,28,14,5,2,11,17,-25.0,2013-14
42013,1610612748,MIA,Miami Heat,0041300306,2014-05-30,MIA vs. IND,W,242,117,44,76,0.579,11,26,0.423,18,21,0.857,8,29,37,24,7,4,9,22,25.0,2013-14
42013,1610612760,OKC,Oklahoma City Thunder,0041300315,2014-05-29,OKC @ SAS,L,239,89,35,81,0.432,6,24,0.25,13,20,0.65,8,27,35,19,6,4,11,24,-28.0,2013-14
42013,1610612759,SAS,San Antonio Spurs,0041300315,2014-05-29,SAS vs. OKC,W,240,117,39,76,0.513,13,26,0.5,26,30,0.867,10,38,48,23,6,3,12,19,28.0,2013-14
42013,1610612754,IND,Indiana Pacers,0041300305,2014-05-28,IND vs. MIA,W,240,93,37,78,0.474,6,21,0.286,13,22,0.591,16,29,45,13,12,2,12,16,3.0,2013-14
42013,1610612748,MIA,Miami Heat,0041300305,2014-05-28,MIA @ IND,L,239,90,34,75,0.453,15,31,0.484,7,8,0.875,11,27,38,22,6,3,17,24,-3.0,2013-14
42013,1610612759,SAS,San Antonio Spurs,0041300314,2014-05-27,SAS @ OKC,L,241,92,33,83,0.398,9,27,0.333,17,22,0.773,11,30,41,17,4,2,13,22,-13.0,2013-14
42013,1610612760,OKC,Oklahoma City Thunder,0041300314,2014-05-27,OKC vs. SAS,W,239,105,37,76,0.487,7,16,0.438,24,31,0.774,5,37,42,22,12,8,7,20,13.0,2013-14
42013,1610612754,IND,Indiana Pacers,0041300304,2014-05-26,IND @ MIA,L,241,90,35,71,0.493,9,21,0.429,11,17,0.647,9,28,37,18,1,1,14,27,-12.0,2013-14
42013,1610612748,MIA,Miami Heat,0041300304,2014-05-26,MIA vs. IND,W,242,102,32,69,0.464,8,24,0.333,30,34,0.882,6,28,34,16,7,2,5,17,12.0,2013-14
42013,1610612760,OKC,Oklahoma City Thunder,0041300313,2014-05-25,OKC vs. SAS,W,241,106,37,81,0.457,6,22,0.273,26,31,0.839,15,37,52,17,7,10,18,24,9.0,2013-14
42013,1610612759,SAS,San Antonio Spurs,0041300313,2014-05-25,SAS @ OKC,L,239,97,36,91,0.396,10,26,0.385,15,16,0.938,11,25,36,22,6,2,16,20,-9.0,2013-14
42013,1610612748,MIA,Miami Heat,0041300303,2014-05-24,MIA vs. IND,W,240,99,37,68,0.544,10,18,0.556,15,20,0.75,6,23,29,17,9,2,15,24,12.0,2013-14
42013,1610612754,IND,Indiana Pacers,0041300303,2014-05-24,IND @ MIA,L,241,87,31,65,0.477,6,21,0.286,19,25,0.76,6,23,29,17,7,1,17,22,-12.0,2013-14
42013,1610612759,SAS,San Antonio Spurs,0041300312,2014-05-21,SAS vs. OKC,W,240,112,41,82,0.5,9,23,0.391,21,23,0.913,11,42,53,27,8,7,12,15,35.0,2013-14
42013,1610612760,OKC,Oklahoma City Thunder,0041300312,2014-05-21,OKC @ SAS,L,241,77,35,89,0.393,2,20,0.1,5,10,0.5,11,27,38,18,6,3,14,21,-35.0,2013-14
42013,1610612748,MIA,Miami Heat,0041300302,2014-05-20,MIA @ IND,W,242,87,34,67,0.507,8,20,0.4,11,18,0.611,6,32,38,19,7,6,11,17,4.0,2013-14
42013,1610612754,IND,Indiana Pacers,0041300302,2014-05-20,IND vs. MIA,L,240,83,32,80,0.4,9,19,0.474,10,15,0.667,16,25,41,19,6,2,10,16,-4.0,2013-14
42013,1610612760,OKC,Oklahoma City Thunder,0041300311,2014-05-19,OKC @ SAS,L,240,105,37,80,0.463,12,27,0.444,19,23,0.826,9,28,37,19,4,3,16,22,-17.0,2013-14
42013,1610612759,SAS,San Antonio Spurs,0041300311,2014-05-19,SAS vs. OKC,W,240,122,50,87,0.575,9,17,0.529,13,17,0.765,8,32,40,28,8,2,9,20,17.0,2013-14
42013,1610612754,IND,Indiana Pacers,0041300301,2014-05-18,IND vs. MIA,W,243,107,35,68,0.515,8,19,0.421,29,37,0.784,7,31,38,23,4,3,12,15,11.0,2013-14
42013,1610612748,MIA,Miami Heat,0041300301,2014-05-18,MIA @ IND,L,242,96,40,78,0.513,6,23,0.261,10,15,0.667,4,25,29,23,7,4,11,26,-11.0,2013-14
42013,1610612754,IND,Indiana Pacers,0041300206,2014-05-15,IND @ WAS,W,241,93,37,72,0.514,2,10,0.2,17,25,0.68,5,33,38,18,6,4,11,23,13.0,2013-14
42013,1610612764,WAS,Washington Wizards,0041300206,2014-05-15,WAS vs. IND,L,239,80,31,79,0.392,2,18,0.111,16,20,0.8,9,31,40,17,4,3,11,23,-13.0,2013-14
42013,1610612760,OKC,Oklahoma City Thunder,0041300236,2014-05-15,OKC @ LAC,W,241,104,33,72,0.458,9,25,0.36,29,33,0.879,7,36,43,25,5,5,15,22,6.0,2013-14
42013,1610612746,LAC,Los Angeles Clippers,0041300236,2014-05-15,LAC vs. OKC,L,239,98,40,95,0.421,6,21,0.286,12,20,0.6,12,29,41,26,9,3,9,27,-6.0,2013-14
42013,1610612751,BKN,Brooklyn Nets,0041300215,2014-05-14,BKN @ MIA,L,241,94,37,78,0.474,8,22,0.364,12,15,0.8,12,24,36,14,4,3,12,21,-2.0,2013-14
42013,1610612748,MIA,Miami Heat,0041300215,2014-05-14,MIA vs. BKN,W,241,96,29,67,0.433,9,29,0.31,29,31,0.935,7,26,33,18,5,4,10,16,2.0,2013-14
